site_name,full_name,main_local_authority,is_complete,dwellings_when_complete,planning_url,percent_commute_active_base,percent_drive_convertable,percent_mapped_drive_convertable,percent_commute_active_scenario,median_commute_distance,distance_to_town,crossing_points,percent_commute_walk_base,percent_commute_cycle_base,percent_commute_drive_base,percent_commute_bus_base,percent_commute_rail_base,percent_commute_other_base,circuity_fast_cycle,circuity_walk,busyness_fast_cycle,in_site_walk_circuity,in_site_cycle_circuity,in_site_drive_circuity,percent_commute_drive_scenario,percent_commute_walk_scenario,percent_commute_cycle_scenario,walk_base_rating,cycle_base_rating,drive_base_rating
allerton-bywater,Allerton Bywater Millennium Community,Leeds,mostly (partly before 2011),562,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZTK2JBXE141,5,10,28,17,11.8,3.1,3,4,1,72,10,5,8,1.23,2.8,3.52,1.38,1.43,1.44,61,6,11,red,red,red
ashton-park,"Ashton Park, Trowbridge",Wiltshire,no,2500,https://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=851482&XSLT=/Northgate/PlanningExplorer/SiteFiles/Skins/Wiltshire/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/Northgate/PlanningExplorer/SiteFiles/Skins/Wiltshire/Menus/PL.xml&DAURI=PLANNING,16,31,37,39,5.1,2.6,3,13,3,71,2,3,7,1.51,1.44,4.2,NA,NA,NA,48,17,22,green,green,amber
aylesbury,"Berryfields, Aylesbury Garden Town",Buckinghamshire,mostly,3000,NA,12,27,44,33,8.5,5.3,3,10,2,71,5,4,7,1.2,1.24,4.25,1.4,1.49,1.53,51,14,18,amber,amber,amber
aylesham,Aylesham Garden Village,Dover,mostly,1200,NA,12,17,24,25,10.4,11.9,3,10,2,70,3,5,10,1.36,1.3,3.13,1.49,1.48,1.51,58,13,12,amber,amber,amber
bailrigg,Bailrigg Garden Village,Lancaster,no,3500,NA,25,32,47,44,3.6,3.2,8,19,5,56,8,3,8,4.12,2.13,4.37,NA,NA,NA,37,22,22,green,green,green
bath-riverside,Bath Western Riverside,Bath and North East Somerset,partly,2280,https://www.bathnes.gov.uk/webforms/planning/details.html?refval=06%2F01733%2FEOUT,44,39,63,58,1.8,2.3,6,39,5,34,9,9,5,1.64,1.47,6.03,1.75,1.85,3.86,20,50,7,green,green,green
bicester,North West Bicester Eco-Town,Cherwell,partly,6000,NA,12,19,27,27,13.9,3.4,2,9,4,72,4,3,8,1.23,1.2,3.77,1.8,1.78,2.67,58,9,17,amber,green,red
castlemead,"Castle Mead, Trowbridge",Wiltshire,yes,650,https://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=769712&XSLT=/Northgate/PlanningExplorer/SiteFiles/Skins/Wiltshire/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/Northgate/PlanningExplorer/SiteFiles/Skins/Wiltshire/Menus/PL.xml&DAURI=PLANNING,13,30,45,36,6.2,2.4,3,11,3,74,2,4,7,1.32,1.35,6.38,1.42,1.47,2.38,51,14,22,amber,amber,red
chapelford,Chapelford Urban Village,Warrington,yes (partly before 2011),2110,NA,6,32,50,35,7.2,4.1,6,4,2,82,4,2,6,1.32,1.32,2.48,1.41,1.46,1.96,53,10,25,red,amber,red
chapeltown-cohousing,Chapeltown Cohousing,"NA",no,60,"NA",23,37,75,37,2.4,1,0,21,2,36,29,3,9,1.22,1.26,9.92,NA,NA,NA,22,33,5,NA,NA,NA
