geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02003659,E02000001,13.924324,1.491892,0,0.994595,11.437838,0,0,0,1.491892,0,0,0,0,63322,0,0,1
E02003659,E02000010,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,76579,0,0,1
E02003659,E02000011,0.497297,0,0,0,0.497297,0,0,0,0,0,0,0,0,77694,0,0,0
E02003659,E02000041,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,47339,0,0,1
E02003659,E02000052,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,54627,0,0,1
E02003659,E02000053,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,49916,0,0,1
E02003663,E02000094,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,49712,0,0,1
E02003659,E02000101,0.497297,0,0,0,0.497297,0,0,0,0,0,0,0,0,50497,0,0,0
E02003659,E02000106,0.497297,0,0,0.497297,0,0,0,0,0,0,0,0,0,52051,0,0,0
E02003659,E02000109,1.989189,0.497297,0,0,1.491892,0,0,0,0.497297,0,0,0,0,50831,0,0,1
E02003659,E02000111,0.994595,0,0,0,0.497297,0.497297,0,0,0,0,0,0,0,49623,0,0,0
E02003663,E02000113,0.994595,0.994595,0,0,0,0,0,0,0.994595,0,0,0,0,51961,0,0,1
E02003663,E02000115,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,54994,0,0,1
E02003663,E02000116,0.994595,0.994595,0,0,0,0,0,0,0.994595,0,0,0,0,53445,0,0,1
E02003659,E02000119,2.486486,1.989189,0,0,0.497297,0,0,0,1.989189,0,0,0,0,52604,0,0,1
E02003659,E02000120,0.497297,0,0,0,0.497297,0,0,0,0,0,0,0,0,56050,0,0,0
E02003659,E02000121,0.994595,0.994595,0,0,0,0,0,0,0.994595,0,0,0,0,50580,0,0,1
E02003663,E02000126,0.497297,0,0,0,0.497297,0,0,0,0,0,0,0,0,56744,0,0,0
E02003663,E02000140,0.497297,0,0,0,0,0,0,0,0,0.497297,0,0,0,82288,0,0,0
E02003659,E02000167,0.497297,0,0,0,0.497297,0,0,0,0,0,0,0,0,56470,0,0,0
E02003663,E02000172,0.497297,0,0,0.497297,0,0,0,0,0,0,0,0,0,58296,0,0,0
E02003659,E02000173,0.994595,0.994595,0,0,0,0,0,0,0.994595,0,0,0,0,56907,0,0,1
E02003663,E02000175,0.994595,0.497297,0,0,0,0.497297,0,0,0.497297,0,0,0,0,55890,0,0,1
E02003659,E02000176,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,57352,0,0,1
E02003659,E02000182,0.994595,0.497297,0,0,0.497297,0,0,0,0.497297,0,0,0,0,57307,0,0,1
E02003659,E02000184,0.994595,0.497297,0,0,0.497297,0,0,0,0.497297,0,0,0,0,59691,0,0,1
E02003659,E02000186,2.486486,0.994595,0,0,1.491892,0,0,0,0.994595,0,0,0,0,59667,0,0,1
E02003659,E02000190,0.994595,0,0,0,0.994595,0,0,0,0,0,0,0,0,61177,0,0,0
E02003659,E02000191,0.994595,0,0,0,0.994595,0,0,0,0,0,0,0,0,60878,0,0,0
E02003659,E02000192,2.486486,0,0,0,2.486486,0,0,0,0,0,0,0,0,62119,0,0,0
E02003659,E02000193,4.475676,0.497297,0,0,3.978378,0,0,0,0.497297,0,0,0,0,61769,0,0,1
E02003663,E02000201,0.497297,0,0,0,0,0.497297,0,0,0,0,0,0,0,72994,0,0,0
E02003659,E02000235,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,77911,0,0,1
E02003659,E02000238,0.994595,0.497297,0,0,0.497297,0,0,0,0.497297,0,0,0,0,47090,0,0,1
E02003663,E02000241,0.497297,0.497297,0,0,0,0,0,0,0.497297,0,0,0,0,46830,0,0,1
