geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02005239,E02000119,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,324228.620497,0,0,1
E02005239,E02000132,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,344745.843686,0,0,1
E02005239,E02000140,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,350819.891923,0,0,1
E02005239,E02000144,0.751494,0.375747,0,0,0,0.375747,0,0,0.375747,0,0,0,0,347704.443819,0,0,1
E02005237,E02000191,0.751494,0.375747,0,0,0.375747,0,0,0,0.375747,0,0,0,0,330605.292164,0,0,1
E02005237,E02000193,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,331427.613222,0,0,0
E02005239,E02000257,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,325345.461563,0,0,1
E02005237,E02000448,0.375747,0,0,0,0,0.375747,0,0,0,0,0,0,0,314993.350348,0,0,0
E02005237,E02000574,0.375747,0.375747,0,0,0,0,0,0,0,0,0.375747,0,0,330573.277069,0,1,0
E02005239,E02000808,0.375747,0,0,0.375747,0,0,0,0,0,0,0,0,0,333887.280825,0,0,0
E02005239,E02000809,2.254481,0,0,1.878734,0.375747,0,0,0,0,0,0,0,0,334772.282103,0,0,0
E02005239,E02000848,0.375747,0,0,0,0,0.375747,0,0,0,0,0,0,0,342121.418894,0,0,0
E02005237,E02000911,0.375747,0,0,0.375747,0,0,0,0,0,0,0,0,0,328949.559707,0,0,0
E02005237,E02000970,0.375747,0.375747,0,0,0,0,0,0,0,0,0,0.375747,0,330349.917929,1,0,0
E02005239,E02000972,0.375747,0,0,0.375747,0,0,0,0,0,0,0,0,0,330773.435053,0,0,0
E02005237,E02000977,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,331923.515315,0,0,0
E02005237,E02000979,1.12724,0.375747,0,0.375747,0.375747,0,0,0,0.375747,0,0,0,0,333069.278465,0,0,1
E02005239,E02000990,1.878734,1.878734,0,0,0,0,0,0,1.878734,0,0,0,0,49918.244029,0,0,1
E02005237,E02000993,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,53495.913683,0,0,0
E02005237,E02000997,4.133215,1.878734,0,0,0.375747,0.375747,0,0,1.878734,1.502987,0,0,0,51084.525838,0,0,1
E02005239,E02000998,0.751494,0.751494,0,0,0,0,0,0,0.751494,0,0,0,0,53340.79169,0,0,1
E02005239,E02000999,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,53817.625856,0,0,1
E02005237,E02001000,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,54766.872429,0,0,0
E02005237,E02001004,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,54743.787645,0,0,0
E02005239,E02001005,1.12724,1.12724,0,0,0,0,0,0,0.751494,0,0,0.375747,0,56127.917644,0.333333,0,0.666667
E02005239,E02001009,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,55512.869565,0,0,1
E02005239,E02001013,0.751494,0.751494,0,0,0,0,0,0,0,0,0,0.751494,0,55969.343891,1,0,0
E02005239,E02001015,1.12724,0.751494,0,0,0,0,0,0,0.375747,0.375747,0,0.375747,0,58631.286472,0.5,0,0.5
E02005239,E02001017,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,59851.677406,0,0,1
E02005237,E02001018,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,56294.654921,0,0,1
E02005239,E02001019,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,51912.835387,0,0,1
E02005239,E02001020,0.375747,0.375747,0,0,0,0,0,0,0,0,0,0.375747,0,52936.57627,1,0,0
E02005239,E02001025,0.375747,0,0,0,0.375747,0,0,0,0,0,0,0,0,57903.986941,0,0,0
E02005237,E02001026,4.508962,2.254481,0,0,0,1.12724,0,0,1.502987,1.12724,0,0.751494,0,57857.037386,0.333333,0,0.666667
E02005239,E02001036,0.751494,0.375747,0,0,0,0.375747,0,0,0,0,0,0.375747,0,60303.428606,1,0,0
E02005239,E02001040,2.254481,1.878734,0,0,0,0,0,0,1.878734,0.375747,0,0,0,63090.462961,0,0,1
E02005239,E02001041,0.375747,0,0,0.375747,0,0,0,0,0,0,0,0,0,64078.000836,0,0,0
E02005237,E02001046,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,66711.44285,0,0,1
E02005237,E02001050,1.502987,1.502987,0,0,0,0,0,0,1.502987,0,0,0,0,67741.916848,0,0,1
E02005237,E02001055,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,70651.456923,0,0,1
E02005239,E02001056,0.751494,0.751494,0,0,0,0,0,0,0.375747,0,0,0.375747,0,71612.241121,0.5,0,0.5
E02005237,E02001059,1.502987,1.12724,0,0,0,0.375747,0,0,1.12724,0,0,0,0,71874.749456,0,0,1
E02005237,E02001062,4.133215,1.878734,0,0,2.254481,0,0,0,1.12724,0,0,0.751494,0,71920.916351,0.4,0,0.6
E02005237,E02001066,1.502987,1.12724,0,0,0.375747,0,0,0,1.12724,0,0,0,0,73218.623106,0,0,1
E02005237,E02001070,0.375747,0.375747,0,0,0,0,0,0,0.375747,0,0,0,0,73583.967938,0,0,1
