geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002993,E02000001,5.143239,0.701351,0,1.168918,3.27297,0,0,0,0.233784,0,0.233784,0.233784,0,159345.133573,0.333333,0.333333,0.333333
E02002996,E02000083,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,178246.031566,0,0,1
E02002997,E02000106,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,149060.74628,0,0,1
E02002996,E02000134,0.701351,0,0,0,0,0.701351,0,0,0,0,0,0,0,166558.834193,0,0,0
E02002996,E02000174,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,156843.26321,0,0,0
E02002993,E02000176,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,154566.553448,0,0,1
E02002993,E02000183,0.467567,0,0,0,0.467567,0,0,0,0,0,0,0,0,155537.288388,0,0,0
E02002996,E02000184,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,156649.317094,0,0,0
E02002993,E02000186,0.701351,0.233784,0,0,0.467567,0,0,0,0,0,0,0.233784,0,156257.564657,1,0,0
E02002993,E02000187,0.467567,0.233784,0,0,0.233784,0,0,0,0,0,0,0.233784,0,156813.305537,1,0,0
E02002996,E02000190,0.233784,0,0,0.233784,0,0,0,0,0,0,0,0,0,157357.775372,0,0,0
E02002993,E02000191,0.935134,0,0,0,0.935134,0,0,0,0,0,0,0,0,156624.92429,0,0,0
E02002993,E02000192,0.467567,0,0,0,0.467567,0,0,0,0,0,0,0,0,158085.712347,0,0,0
E02002993,E02000193,1.636485,0,0,0.233784,1.402702,0,0,0,0,0,0,0,0,157307.585304,0,0,0
E02002997,E02000213,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,158513.173129,0,0,0
E02002993,E02000217,0.467567,0.467567,0,0,0,0,0,0,0,0,0,0.467567,0,157908.02484,1,0,0
E02002993,E02000252,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,147788.422083,0,0,1
E02002996,E02000286,0.233784,0,0,0,0,0,0,0,0,0.233784,0,0,0,161109.146925,0,0,0
E02002993,E02000296,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,158293.844046,0,0,1
E02002996,E02000371,0.467567,0.233784,0,0.233784,0,0,0,0,0.233784,0,0,0,0,160327.209489,0,0,1
E02002996,E02000372,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,149300.234642,0,0,1
E02002993,E02000375,0.467567,0,0,0.233784,0,0,0,0,0,0.233784,0,0,0,150135.725148,0,0,0
E02002996,E02000381,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,150695.003304,0,0,0
E02002993,E02000384,0.701351,0,0,0.467567,0.233784,0,0,0,0,0,0,0,0,149945.863739,0,0,0
E02002996,E02000392,0.701351,0,0,0,0.701351,0,0,0,0,0,0,0,0,151511.984841,0,0,0
E02002996,E02000497,0.467567,0.467567,0,0,0,0,0,0,0.467567,0,0,0,0,138664.509825,0,0,1
E02002996,E02000518,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,133895.84635,0,0,1
E02002996,E02000523,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,136379.412755,0,0,0
E02002996,E02000528,0.467567,0.233784,0,0,0,0,0,0,0.233784,0.233784,0,0,0,144947.494229,0,0,1
E02002996,E02000530,0.233784,0,0,0,0,0.233784,0,0,0,0,0,0,0,138316.600757,0,0,0
E02002996,E02000531,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,144133.967592,0,0,1
E02002996,E02000534,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,142329.273329,0,0,1
E02002997,E02000538,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,137353.606539,0,0,1
E02002993,E02000559,0.467567,0,0,0,0,0.467567,0,0,0,0,0,0,0,159287.854269,0,0,0
E02002993,E02000573,0.467567,0.467567,0,0,0,0,0,0,0.467567,0,0,0,0,158986.144649,0,0,1
E02002996,E02000574,0.467567,0,0,0,0.467567,0,0,0,0,0,0,0,0,158181.758426,0,0,0
E02002993,E02000575,0.233784,0,0,0.233784,0,0,0,0,0,0,0,0,0,158805.488193,0,0,0
E02002993,E02000576,0.935134,0,0,0,0.935134,0,0,0,0,0,0,0,0,159507.565595,0,0,0
E02002996,E02000581,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,151034.707583,0,0,1
E02002993,E02000587,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,152161.566868,0,0,0
E02002997,E02000591,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,151990.691591,0,0,1
E02002996,E02000598,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,144627.971157,0,0,1
E02002997,E02000637,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,157348.800425,0,0,0
E02002993,E02000746,0.701351,0.233784,0,0,0,0.467567,0,0,0.233784,0,0,0,0,170399.82756,0,0,1
E02002996,E02000784,0.467567,0.467567,0,0,0,0,0,0,0.467567,0,0,0,0,149042.679868,0,0,1
E02002996,E02000789,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,145140.564027,0,0,0
E02002996,E02000791,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,144717.565155,0,0,1
E02002997,E02000797,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,142323.785196,0,0,1
E02002996,E02000808,0.701351,0,0,0.233784,0.467567,0,0,0,0,0,0,0,0,159127.733972,0,0,0
E02002996,E02000809,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,160495.951065,0,0,0
E02002996,E02000812,0.467567,0.233784,0,0,0.233784,0,0,0,0,0,0.233784,0,0,159786.482713,0,1,0
E02002996,E02000815,0.233784,0.233784,0,0,0,0,0,0,0,0,0,0.233784,0,159146.998401,1,0,0
E02002996,E02000884,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,161349.535976,0,0,0
E02002993,E02000889,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,161446.497845,0,0,0
E02002996,E02000891,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,165313.381899,0,0,0
E02002996,E02000928,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,150131.382502,0,0,1
E02002996,E02000932,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,151308.805719,0,0,1
E02002996,E02000967,0.467567,0.233784,0,0,0.233784,0,0,0,0.233784,0,0,0,0,154917.477979,0,0,1
E02002996,E02000970,1.636485,0.233784,0,0,1.402702,0,0,0,0.233784,0,0,0,0,155461.762214,0,0,1
E02002993,E02000971,0.467567,0,0,0,0.467567,0,0,0,0,0,0,0,0,154674.594272,0,0,0
E02002993,E02000972,3.27297,0.467567,0,0.701351,1.870269,0.233784,0,0,0.233784,0,0.233784,0,0,156217.709025,0,0.5,0.5
E02002996,E02000974,0.701351,0.467567,0,0,0.233784,0,0,0,0.467567,0,0,0,0,154186.32628,0,0,1
E02002996,E02000975,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,153414.55123,0,0,0
E02002993,E02000977,2.337836,0.467567,0,0.233784,1.636485,0,0,0,0.467567,0,0,0,0,156887.427009,0,0,1
E02002996,E02000978,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,154434.399029,0,0,0
E02002993,E02000979,3.039187,0.701351,0,0,2.337836,0,0,0,0,0,0.233784,0.467567,0,156405.53378,0.666667,0.333333,0
E02002993,E02000981,0.467567,0.233784,0,0,0,0.233784,0,0,0,0,0,0.233784,0,155906.992074,1,0,0
E02002996,E02000982,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,155413.383883,0,0,0
E02002996,E02000992,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,246094.983653,0,0,1
E02002996,E02001034,0.233784,0.233784,0,0,0,0,0,0,0,0,0,0.233784,0,242559.558226,1,0,0
E02002993,E02001097,0.935134,0.935134,0,0,0,0,0,0,0.701351,0,0.233784,0,0,221558.178825,0,0.25,0.75
E02002996,E02001108,0.233784,0,0,0,0.233784,0,0,0,0,0,0,0,0,242168.293456,0,0,0
E02002996,E02001247,0.233784,0.233784,0,0,0,0,0,0,0,0,0,0.233784,0,232696.617204,1,0,0
E02002996,E02001285,0.467567,0.467567,0,0,0,0,0,0,0.467567,0,0,0,0,221735.909879,0,0,1
E02002997,E02001404,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,221175.23987,0,0,1
E02002993,E02001756,0.467567,0,0,0,0,0,0,0,0,0,0,0,0.467567,407464.148193,0,0,0
E02002997,E02001854,0.233784,0.233784,0,0,0,0,0,0,0.233784,0,0,0,0,131854.201001,0,0,1
