geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02005931,E02000001,22.237569,3.970994,0,1.191298,16.678177,0.397099,0,0,3.176796,0,0.397099,0.397099,0,86894.145763,0.1,0.1,0.8
E02005936,E02000049,1.588398,1.191298,0,0,0,0.397099,0,0,1.191298,0,0,0,0,73201.234456,0,0,1
E02005934,E02000052,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,78426.524129,0,0,1
E02005931,E02000053,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,73568.56275,0,0,1
E02005932,E02000083,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,107360.15621,0,0,1
E02005932,E02000094,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,73303.80249,0,0,1
E02005934,E02000109,1.191298,0,0,0,1.191298,0,0,0,0,0,0,0,0,74099.778563,0,0,0
E02005932,E02000111,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,72775.084065,0,0,0
E02005934,E02000119,0.397099,0,0,0.397099,0,0,0,0,0,0,0,0,0,75837.517158,0,0,0
E02005936,E02000173,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,80475.248228,0,0,1
E02005934,E02000184,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,83281.521703,0,0,0
E02005931,E02000186,1.191298,0.397099,0,0,0.397099,0,0,0.397099,0.397099,0,0,0,0,83220.594787,0,0,1
E02005932,E02000188,0.794199,0.397099,0,0,0.397099,0,0,0,0.397099,0,0,0,0,83613.180436,0,0,1
E02005936,E02000190,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,84721.770389,0,0,0
E02005931,E02000191,2.382597,0.397099,0,0,1.985497,0,0,0,0.397099,0,0,0,0,84371.997049,0,0,1
E02005931,E02000192,1.588398,0.397099,0,0,1.191298,0,0,0,0.397099,0,0,0,0,85662.300342,0,0,1
E02005931,E02000193,6.750691,1.191298,0,0,5.559392,0,0,0,0.397099,0,0,0.794199,0,85261.589741,0.666667,0,0.333333
E02005932,E02000241,0.794199,0.397099,0,0,0.397099,0,0,0,0.397099,0,0,0,0,69642.874895,0,0,1
E02005936,E02000242,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,72999.917591,0,0,1
E02005932,E02000243,1.588398,1.588398,0,0,0,0,0,0,1.588398,0,0,0,0,71174.747564,0,0,1
E02005936,E02000244,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,72326.77889,0,0,1
E02005931,E02000252,1.588398,1.191298,0,0,0.397099,0,0,0,1.191298,0,0,0,0,77057.023409,0,0,1
E02005936,E02000261,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,78350.497239,0,0,0
E02005934,E02000262,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,77452.817266,0,0,0
E02005932,E02000264,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,76527.921691,0,0,1
E02005931,E02000266,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,72409.982222,0,0,1
E02005936,E02000268,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,75944.170145,0,0,1
E02005931,E02000269,0.794199,0,0,0,0.794199,0,0,0,0,0,0,0,0,75131.717461,0,0,0
E02005932,E02000270,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,77601.65465,0,0,1
E02005936,E02000271,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,78583.360297,0,0,1
E02005932,E02000274,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,71502.041624,0,0,1
E02005934,E02000286,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,79994.699704,0,0,1
E02005934,E02000301,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,84379.685216,0,0,1
E02005932,E02000306,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,84014.978917,0,0,1
E02005932,E02000333,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,96469.152457,0,0,0
E02005936,E02000340,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,100441.333018,0,0,1
E02005932,E02000342,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,101609.948865,0,0,0
E02005931,E02000370,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,86479.240605,0,0,0
E02005931,E02000371,0.794199,0.397099,0,0.397099,0,0,0,0,0.397099,0,0,0,0,87110.663481,0,0,1
E02005931,E02000372,2.382597,1.191298,0,0,0.397099,0.397099,0,0,1.191298,0.397099,0,0,0,78593.327219,0,0,1
E02005931,E02000375,1.191298,1.191298,0,0,0,0,0,0,1.191298,0,0,0,0,79947.292363,0,0,1
E02005931,E02000380,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,80290.358369,0,0,0
E02005934,E02000381,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,81056.154009,0,0,0
E02005934,E02000383,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,81808.954032,0,0,0
E02005932,E02000384,1.191298,0.397099,0,0,0.794199,0,0,0,0.397099,0,0,0,0,80903.820927,0,0,1
E02005931,E02000396,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,84302.378348,0,0,1
E02005934,E02000402,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,83405.552391,0,0,0
E02005932,E02000436,0.397099,0,0,0,0.397099,0,0,0,0,0,0,0,0,65248.820961,0,0,0
E02005934,E02000440,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,69140.999774,0,0,1
E02005936,E02000452,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,68693.114601,0,0,1
E02005931,E02000457,1.191298,1.191298,0,0,0,0,0,0,1.191298,0,0,0,0,67466.886776,0,0,1
E02005936,E02000494,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,61742.908253,0,0,1
E02005931,E02000496,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,59388.272582,0,0,1
E02005932,E02000498,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,63284.053805,0,0,1
E02005932,E02000499,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,65880.360029,0,0,1
E02005934,E02000506,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,64002.814773,0,0,1
E02005932,E02000508,3.970994,3.970994,0,0,0,0,0,0,3.970994,0,0,0,0,64097.034206,0,0,1
E02005931,E02000509,6.750691,6.750691,0,0,0,0,0,0,6.750691,0,0,0,0,63883.952321,0,0,1
E02005931,E02000510,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,65562.496689,0,0,1
E02005932,E02000511,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,67410.389755,0,0,1
E02005934,E02000513,0.397099,0.397099,0,0,0,0,0,0,0.397099,0,0,0,0,69024.03346,0,0,1
E02005934,E02000515,0.397099,0,0,0,0,0,0,0,0,0.397099,0,0,0,65331.358222,0,0,0
E02005932,E02000517,0.794199,0.794199,0,0,0,0,0,0,0.794199,0,0,0,0,67573.277832,0,0,1
