geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02003037,E02000001,1.347413,0.481219,0,0.288731,0.384975,0.096244,0,0,0.096244,0.096244,0.288731,0.096244,0,175383,0.2,0.6,0.2
E02003041,E02000134,0.096244,0.096244,0,0,0,0,0,0,0,0,0.096244,0,0,183268,0,1,0
E02003041,E02000174,0.096244,0,0,0.096244,0,0,0,0,0,0,0,0,0,172667,0,0,0
E02003041,E02000184,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,172543,0,0,0
E02003037,E02000186,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,172179,0,0,1
E02003037,E02000191,0.384975,0,0,0,0.384975,0,0,0,0,0,0,0,0,172635,0,0,0
E02003037,E02000193,0.769951,0.096244,0,0.192488,0.481219,0,0,0,0,0,0,0.096244,0,173351,1,0,0
E02003037,E02000243,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,157967,0,0,1
E02003041,E02000252,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,163779,0,0,0
E02003037,E02000371,0.481219,0.288731,0,0.096244,0.096244,0,0,0,0.192488,0,0,0.096244,0,176302,0.333333,0,0.666667
E02003037,E02000372,0.192488,0,0,0,0.192488,0,0,0,0,0,0,0,0,165325,0,0,0
E02003037,E02000375,0.288731,0,0,0,0.288731,0,0,0,0,0,0,0,0,166230,0,0,0
E02003037,E02000382,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,165262,0,0,0
E02003041,E02000384,0.096244,0,0,0,0,0,0,0,0,0.096244,0,0,0,166149,0,0,0
E02003041,E02000385,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,167316,0,0,0
E02003037,E02000388,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,168084,0,0,0
E02003041,E02000396,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,168561,0,0,0
E02003037,E02000434,0.096244,0,0,0,0,0,0,0,0,0.096244,0,0,0,162259,0,0,0
E02003037,E02000455,0.096244,0,0,0.096244,0,0,0,0,0,0,0,0,0,159472,0,0,0
E02003037,E02000508,0.192488,0.096244,0,0,0.096244,0,0,0,0.096244,0,0,0,0,149145,0,0,1
E02003037,E02000509,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,148581,0,0,1
E02003041,E02000520,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,152892,0,0,1
E02003041,E02000524,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,149364,0,0,1
E02003037,E02000530,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,154523,0,0,1
E02003037,E02000548,0.192488,0,0,0,0.096244,0.096244,0,0,0,0,0,0,0,151777,0,0,0
E02003037,E02000574,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,174138,0,0,0
E02003041,E02000587,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,168328,0,0,0
E02003037,E02000588,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,170685,1,0,0
E02003037,E02000592,0.192488,0,0,0.096244,0,0.096244,0,0,0,0,0,0,0,169431,0,0,0
E02003037,E02000597,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,169392,0,0,1
E02003041,E02000615,0.192488,0.096244,0,0,0,0.096244,0,0,0,0,0,0.096244,0,161510,1,0,0
E02003037,E02000620,0.192488,0,0,0.096244,0.096244,0,0,0,0,0,0,0,0,174048,0,0,0
E02003037,E02000670,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,181067,0,0,0
E02003041,E02000722,0.096244,0,0,0.096244,0,0,0,0,0,0,0,0,0,182947,0,0,0
E02003041,E02000725,0.096244,0,0,0.096244,0,0,0,0,0,0,0,0,0,182272,0,0,0
E02003041,E02000750,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,185440,0,0,0
E02003041,E02000794,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,158592,0,0,1
E02003037,E02000808,0.481219,0.096244,0,0,0.288731,0.096244,0,0,0,0,0.096244,0,0,175277,0,1,0
E02003037,E02000829,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,177968,0,0,0
E02003041,E02000868,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,177676,0,0,0
E02003041,E02000889,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,177565,0,0,0
E02003041,E02000935,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,164689,0,0,0
E02003041,E02000962,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,169816,0,0,1
E02003037,E02000970,0.288731,0.192488,0,0,0.096244,0,0,0,0,0,0,0.192488,0,171493,1,0,0
E02003037,E02000971,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,170706,1,0,0
E02003037,E02000972,1.347413,0.384975,0,0.192488,0.288731,0.384975,0,0,0.384975,0.096244,0,0,0,172253,0,0,1
E02003041,E02000974,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,170234,0,0,0
E02003037,E02000975,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,169471,1,0,0
E02003037,E02000977,0.962438,0.673707,0,0,0.288731,0,0,0,0.288731,0,0.192488,0.192488,0,172979,0.285714,0.285714,0.428571
E02003041,E02000978,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,170592,0,0,1
E02003037,E02000979,0.384975,0,0,0.096244,0.288731,0,0,0,0,0,0,0,0,172591,0,0,0
E02003037,E02001097,3.27229,3.079802,0,0,0,0.096244,0,0,2.502339,0.096244,0.577463,0,0,214072,0,0.1875,0.8125
E02003041,E02001248,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,225579,0,0,1
E02003041,E02001261,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,222906,0,0,1
E02003037,E02001285,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,213759,1,0,0
E02003041,E02001825,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,382210,1,0,0
E02003041,E02001890,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,121800,0,0,1
E02003037,E02001913,0.096244,0.096244,0,0,0,0,0,0,0,0,0,0.096244,0,119301,1,0,0
E02003037,E02001965,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,134888,0,0,0
E02003037,E02001989,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,127360,0,0,1
E02003041,E02001999,0.096244,0.096244,0,0,0,0,0,0,0,0,0.096244,0,0,125146,0,1,0
E02003037,E02002251,1.828633,1.636145,0,0,0,0.096244,0,0,0.384975,0.096244,0.192488,1.058682,0,257685,0.647059,0.117647,0.235294
E02003037,E02002373,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,271535,0,0,1
E02003037,E02002450,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,262260,0,0,1
E02003037,E02002591,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,221362,0,0,1
E02003037,E02002624,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,252303,0,0,1
E02003041,E02002898,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,192530,0,0,1
E02003037,E02002916,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,66793,0,0,1
E02003037,E02002927,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,48645,0,0,1
E02003037,E02002943,0.192488,0.192488,0,0,0,0,0,0,0.192488,0,0,0,0,135540,0,0,1
E02003041,E02002985,0.096244,0,0,0,0,0.096244,0,0,0,0,0,0,0,9388,0,0,0
E02003037,E02002986,1.058682,0.673707,0,0,0.384975,0,0,0,0.481219,0,0.096244,0.096244,0,9892,0.142857,0.142857,0.714286
E02003037,E02002987,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,10919,0,0,1
E02003037,E02002988,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,20144,0,0,1
E02003037,E02002989,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,17257,0,0,1
E02003037,E02002990,0.192488,0.192488,0,0,0,0,0,0,0.192488,0,0,0,0,20015,0,0,1
E02003037,E02002991,4.812191,2.598583,0,0,1.828633,0.096244,0,0.096244,1.924876,0.192488,0.481219,0.192488,0,19662,0.074074,0.185185,0.740741
E02003037,E02002992,2.887315,2.694827,0,0,0.192488,0,0,0,2.406095,0,0.288731,0,0,17635,0,0.107143,0.892857
E02003037,E02002993,2.117364,0.769951,0,0,1.154926,0.192488,0,0,0.673707,0,0,0.096244,0,19184,0.125,0,0.875
E02003037,E02002994,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,21965,0,0,1
E02003037,E02002995,0.384975,0.384975,0,0,0,0,0,0,0.384975,0,0,0,0,17704,0,0,1
E02003037,E02002996,2.213608,1.25117,0,0,0.962438,0,0,0,1.154926,0,0,0.096244,0,20825,0.076923,0,0.923077
E02003037,E02002997,0.673707,0.577463,0,0,0,0,0,0,0.577463,0.096244,0,0,0,18803,0,0,1
E02003037,E02002998,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,19390,0,0,1
E02003037,E02003000,0.577463,0.577463,0,0,0,0,0,0,0.577463,0,0,0,0,13609,0,0,1
E02003041,E02003001,0.096244,0,0,0,0.096244,0,0,0,0,0,0,0,0,20304,0,0,0
E02003037,E02003002,0.481219,0.384975,0,0,0.096244,0,0,0,0.384975,0,0,0,0,21558,0,0,1
E02003037,E02003003,0.192488,0.096244,0,0,0.096244,0,0,0,0.096244,0,0,0,0,20052,0,0,1
E02003037,E02003004,0.577463,0.481219,0,0,0.096244,0,0,0,0.481219,0,0,0,0,13084,0,0,1
E02003037,E02003005,1.058682,1.058682,0,0,0,0,0,0,0.577463,0,0,0.481219,0,13900,0.454545,0,0.545455
E02003037,E02003006,0.384975,0.288731,0,0,0,0.096244,0,0,0.288731,0,0,0,0,21078,0,0,1
E02003037,E02003007,0.384975,0.384975,0,0,0,0,0,0,0.384975,0,0,0,0,18961,0,0,1
E02003037,E02003008,0.384975,0.384975,0,0,0,0,0,0,0.384975,0,0,0,0,22431,0,0,1
E02003041,E02003009,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,21191,0,0,1
E02003037,E02003010,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,22361,0,0,1
E02003037,E02003011,0.096244,0.096244,0,0,0,0,0,0,0.096244,0,0,0,0,21875,0,0,1
E02003037,E02003012,2.02112,1.732389,0,0,0,0.288731,0,0,1.443657,0,0.096244,0.192488,0,5370,0.111111,0.055556,0.833333
E02003037,E02003013,2.02112,1.636145,0,0,0,0.288731,0,0,1.347413,0,0.192488,0.096244,0.096244,4905,0.058824,0.117647,0.823529
E02003037,E02003014,2.502339,2.117364,0,0,0.192488,0.096244,0,0,1.924876,0.096244,0.192488,0,0,5181,0,0.090909,0.909091
E02003037,E02003015,8.469456,7.218286,0,0,0,0.769951,0,0.192488,5.582141,0.288731,1.25117,0.384975,0,4108,0.053333,0.173333,0.773333
E02003037,E02003016,0.866194,0.769951,0,0,0,0.096244,0,0,0.577463,0,0.096244,0.096244,0,4889,0.125,0.125,0.75
E02003037,E02003017,4.619703,4.138484,0,0,0.096244,0.288731,0,0.096244,3.27229,0,0.096244,0.769951,0,3452,0.186047,0.023256,0.790698
E02003037,E02003018,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,3887,0,0,1
E02003037,E02003019,3.176046,2.502339,0,0,0.288731,0.192488,0,0,2.213608,0.192488,0.192488,0.096244,0,5411,0.038462,0.076923,0.884615
E02003037,E02003020,1.828633,1.443657,0,0,0,0.288731,0,0.096244,0.962438,0,0.096244,0.384975,0,3126,0.266667,0.066667,0.666667
E02003037,E02003021,0.673707,0.577463,0,0,0,0.096244,0,0,0.481219,0,0,0.096244,0,3841,0.166667,0,0.833333
E02003037,E02003022,0.481219,0.481219,0,0,0,0,0,0,0.384975,0,0.096244,0,0,3019,0,0.2,0.8
E02003037,E02003023,0.673707,0.577463,0,0,0,0.096244,0,0,0.577463,0,0,0,0,5959,0,0,1
E02003037,E02003024,2.406095,1.828633,0,0,0.096244,0.481219,0,0,1.347413,0,0.384975,0.096244,0,6961,0.052632,0.210526,0.736842
E02003037,E02003025,0.962438,0.769951,0,0,0,0.192488,0,0,0.481219,0,0,0.288731,0,4276,0.375,0,0.625
E02003037,E02003026,2.02112,1.924876,0,0,0,0.096244,0,0,1.539901,0,0.288731,0.096244,0,2253,0.05,0.15,0.8
E02003037,E02003027,2.598583,2.213608,0,0,0,0.096244,0,0.288731,1.636145,0,0.384975,0.192488,0,2936,0.086957,0.173913,0.73913
E02003037,E02003028,4.908435,4.812191,0,0,0,0.096244,0,0,1.828633,0,0.481219,2.502339,0,1866,0.52,0.1,0.38
E02003041,E02003029,0.384975,0.384975,0,0,0,0,0,0,0.384975,0,0,0,0,7197,0,0,1
E02003037,E02003030,0.962438,0.769951,0,0,0,0.096244,0,0,0.577463,0.096244,0.096244,0.096244,0,5222,0.125,0.125,0.75
E02003037,E02003031,5.100922,4.523459,0,0,0,0.288731,0,0.096244,2.694827,0.192488,0.673707,1.154926,0,2206,0.255319,0.148936,0.595745
E02003037,E02003032,1.924876,1.828633,0,0,0,0,0,0,1.539901,0.096244,0,0.288731,0,6387,0.157895,0,0.842105
E02003037,E02003033,14.62906,13.85911,0,0,0.288731,0.481219,0,0,2.598583,0,1.539901,9.720626,0,1029,0.701389,0.111111,0.1875
E02003037,E02003034,9.624382,8.469456,0,0,0,0.962438,0,0,3.079802,0.192488,0.962438,4.427216,0,2516,0.522727,0.113636,0.363636
E02003037,E02003036,17.708862,14.725304,0,0,0,2.598583,0.096244,0.096244,1.828633,0.192488,2.309852,10.58682,0,1698,0.718954,0.156863,0.124183
E02003037,E02003037,37.342601,36.668895,0,0,0.096244,0.192488,0,0.096244,5.100922,0.192488,2.309852,29.258121,0.096244,361,0.7979,0.062992,0.139108
E02003037,E02003038,0.577463,0.384975,0,0,0,0.192488,0,0,0.288731,0,0.096244,0,0,6819,0,0.25,0.75
E02003037,E02003039,0.769951,0.769951,0,0,0,0,0,0,0.577463,0,0,0.192488,0,5771,0.25,0,0.75
E02003037,E02003040,1.924876,1.539901,0,0,0.288731,0.096244,0,0,1.347413,0,0.192488,0,0,4449,0,0.125,0.875
E02003037,E02003041,39.459965,37.631333,0,0,0.096244,0.577463,0.192488,0.384975,4.908435,0.481219,1.154926,31.567972,0.096244,626,0.838875,0.030691,0.130435
E02003037,E02003043,191.910172,178.821013,0,0,0.384975,9.431894,0,0.962438,19.441251,2.117364,15.014036,144.365727,0.192488,1482,0.80732,0.083961,0.108719
E02003037,E02003045,3.657265,3.561021,0,0,0,0,0,0.096244,0.866194,0,0,2.694827,0,1117,0.756757,0,0.243243
E02003037,E02003046,4.04224,3.561021,0,0,0.096244,0.288731,0,0,2.694827,0.096244,0.769951,0.096244,0,5093,0.027027,0.216216,0.756757
E02003037,E02003047,4.715947,4.330972,0,0,0,0,0,0,2.309852,0.288731,0.481219,1.539901,0.096244,2165,0.355556,0.111111,0.533333
E02003037,E02003048,0.384975,0.384975,0,0,0,0,0,0,0.288731,0,0,0.096244,0,3606,0.25,0,0.75
E02003037,E02003049,1.539901,1.058682,0,0,0,0.384975,0,0,1.058682,0.096244,0,0,0,5800,0,0,1
E02003037,E02003050,5.100922,4.619703,0,0,0,0.384975,0,0,3.464777,0.096244,0.481219,0.673707,0,2912,0.145833,0.104167,0.75
E02003037,E02003051,0.481219,0.481219,0,0,0,0,0,0,0.481219,0,0,0,0,3301,0,0,1
E02003037,E02003052,2.887315,2.406095,0,0,0,0.096244,0,0.096244,1.347413,0.288731,0.673707,0.384975,0,2819,0.16,0.28,0.56
E02003037,E02003053,1.347413,1.25117,0,0,0,0.096244,0,0,1.058682,0,0.096244,0.096244,0,4632,0.076923,0.076923,0.846154
E02003037,E02003054,2.02112,1.828633,0,0,0,0.096244,0.096244,0,1.539901,0,0.192488,0.096244,0,5497,0.052632,0.105263,0.842105
E02003037,E02003055,0.192488,0.192488,0,0,0,0,0,0,0.096244,0,0.096244,0,0,4573,0,0.5,0.5
E02003037,E02003056,1.25117,1.25117,0,0,0,0,0,0,1.25117,0,0,0,0,4515,0,0,1
E02003037,E02003057,2.406095,1.828633,0,0,0,0.192488,0,0.096244,1.636145,0.288731,0.096244,0.096244,0,4265,0.052632,0.052632,0.894737
E02003037,E02003058,0.962438,0.769951,0,0,0,0.096244,0.096244,0,0.673707,0,0.096244,0,0,5759,0,0.125,0.875
E02003037,E02003059,1.347413,0.962438,0,0,0,0.288731,0,0,0.866194,0.096244,0.096244,0,0,5040,0,0.1,0.9
E02003037,E02003060,0.288731,0.288731,0,0,0,0,0,0,0.288731,0,0,0,0,7053,0,0,1
E02003037,E02003061,0.288731,0.192488,0,0,0,0.096244,0,0,0.192488,0,0,0,0,5783,0,0,1
E02003037,E02003062,0.288731,0.192488,0,0,0,0,0,0,0.192488,0.096244,0,0,0,6019,0,0,1
E02003037,E02003063,1.25117,1.154926,0,0,0,0.096244,0,0,1.154926,0,0,0,0,6971,0,0,1
E02003037,E02003064,1.539901,1.347413,0,0,0,0.096244,0,0,1.154926,0.096244,0.192488,0,0,6480,0,0.142857,0.857143
E02003037,E02003065,1.154926,1.058682,0,0,0,0,0,0.096244,0.962438,0,0,0.096244,0,10879,0.090909,0,0.909091
E02003037,E02003066,1.25117,1.25117,0,0,0,0,0,0,1.058682,0,0,0.192488,0,12627,0.153846,0,0.846154
