geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002598,E02000001,1.037964,0.778473,0,0.259491,0,0,0,0,0.778473,0,0,0,0,271199,0,0,1
E02002599,E02000109,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,260414,0,0,0
E02002599,E02000120,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,264899,0,0,0
E02002599,E02000144,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,286395,0,0,1
E02002599,E02000160,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,288732,0,0,0
E02002598,E02000167,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,264532,0,0,0
E02002599,E02000188,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,268396,0,0,0
E02002598,E02000191,0.518982,0,0,0,0.518982,0,0,0,0,0,0,0,0,269239,0,0,0
E02002599,E02000252,0.259491,0,0,0.259491,0,0,0,0,0,0,0,0,0,263987,0,0,0
E02002598,E02000280,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,259133,0,0,1
E02002598,E02000292,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,261858,0,0,1
E02002598,E02000371,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,270900,0,0,1
E02002598,E02000384,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,268029,0,0,1
E02002598,E02000421,0.518982,0.259491,0,0,0,0,0,0,0.259491,0.259491,0,0,0,266717,0,0,1
E02002599,E02000452,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,255044,0,0,1
E02002599,E02000462,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,256400,0,0,1
E02002599,E02000485,0.518982,0.518982,0,0,0,0,0,0,0.259491,0,0,0.259491,0,282922,0.5,0,0.5
E02002599,E02000510,0.259491,0.259491,0,0,0,0,0,0,0,0,0,0.259491,0,254981,1,0,0
E02002598,E02000524,0.778473,0.778473,0,0,0,0,0,0,0.778473,0,0,0,0,258525,0,0,1
E02002599,E02000525,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,260117,0,0,1
E02002599,E02000528,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,265305,0,0,1
E02002598,E02000534,0.259491,0.259491,0,0,0,0,0,0,0,0,0,0.259491,0,264526,1,0,0
E02002599,E02000573,0.518982,0,0,0,0.518982,0,0,0,0,0,0,0,0,269565,0,0,0
E02002598,E02000575,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,270285,0,0,1
E02002599,E02000576,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,270746,0,0,1
E02002599,E02000578,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,265509,0,0,1
E02002598,E02000725,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,273485,0,0,0
E02002599,E02000878,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,272326,0,0,1
E02002599,E02000884,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,272950,0,0,1
E02002598,E02000896,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,266169,0,0,1
E02002598,E02000970,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,268857,0,0,0
E02002598,E02000971,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,268406,0,0,1
E02002599,E02000972,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,269347,0,0,1
E02002599,E02000975,0.259491,0,0,0,0.259491,0,0,0,0,0,0,0,0,268025,0,0,0
E02002598,E02000977,0.778473,0.259491,0,0.259491,0.259491,0,0,0,0.259491,0,0,0,0,270507,0,0,1
E02002598,E02000979,0.259491,0.259491,0,0,0,0,0,0,0,0,0.259491,0,0,271522,0,1,0
E02002599,E02000984,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,28373,0,0,1
E02002599,E02000985,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,28163,0,0,1
E02002599,E02000986,0.778473,0.518982,0,0,0,0,0,0,0.518982,0.259491,0,0,0,27333,0,0,1
E02002598,E02000988,0.778473,0.778473,0,0,0,0,0,0,0.518982,0,0,0.259491,0,26298,0.333333,0,0.666667
E02002598,E02000990,1.816437,1.556946,0,0,0,0,0,0,1.556946,0.259491,0,0,0,22786,0,0,1
E02002598,E02000993,0.778473,0.778473,0,0,0,0,0,0,0.778473,0,0,0,0,26407,0,0,1
E02002598,E02000997,1.297455,1.297455,0,0,0,0,0,0,1.297455,0,0,0,0,22373,0,0,1
E02002598,E02000999,2.59491,2.335419,0,0,0,0,0,0.259491,2.335419,0,0,0,0,24677,0,0,1
E02002598,E02001000,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,25512,0,0,1
E02002598,E02001003,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,22021,0,0,1
E02002598,E02001005,1.297455,1.037964,0,0,0.259491,0,0,0,1.037964,0,0,0,0,23350,0,0,1
E02002598,E02001012,2.075928,2.075928,0,0,0,0,0,0,2.075928,0,0,0,0,22442,0,0,1
E02002598,E02001014,2.335419,2.335419,0,0,0,0,0,0,2.335419,0,0,0,0,18222,0,0,1
E02002598,E02001015,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,22989,0,0,1
E02002598,E02001017,0.778473,0.778473,0,0,0,0,0,0,0.778473,0,0,0,0,23768,0,0,1
E02002598,E02001021,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,31854,0,0,1
E02002598,E02001025,1.037964,1.037964,0,0,0,0,0,0,1.037964,0,0,0,0,33124,0,0,1
E02002598,E02001026,1.037964,1.037964,0,0,0,0,0,0,1.037964,0,0,0,0,32131,0,0,1
E02002598,E02001029,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,30820,0,0,1
E02002598,E02001031,2.075928,1.816437,0,0,0.259491,0,0,0,1.816437,0,0,0,0,30131,0,0,1
E02002598,E02001033,0.778473,0.778473,0,0,0,0,0,0,0.778473,0,0,0,0,28690,0,0,1
E02002598,E02001036,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,27037,0,0,1
E02002599,E02001037,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,27956,0,0,1
E02002599,E02001038,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,28405,0,0,1
E02002598,E02001040,0.778473,0.778473,0,0,0,0,0,0,0.778473,0,0,0,0,28979,0,0,1
E02002599,E02001045,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,31176,0,0,1
E02002598,E02001046,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,31689,0,0,1
E02002598,E02001047,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,33158,0,0,1
E02002598,E02001050,2.075928,2.075928,0,0,0,0,0,0,2.075928,0,0,0,0,30992,0,0,1
E02002598,E02001051,0.518982,0.259491,0,0,0,0,0,0,0.259491,0.259491,0,0,0,32064,0,0,1
E02002599,E02001052,0.518982,0.259491,0,0,0.259491,0,0,0,0.259491,0,0,0,0,29415,0,0,1
E02002598,E02001053,1.037964,1.037964,0,0,0,0,0,0,1.037964,0,0,0,0,30894,0,0,1
E02002599,E02001055,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,32563,0,0,1
E02002598,E02001057,0.778473,0.518982,0,0,0.259491,0,0,0,0.518982,0,0,0,0,29580,0,0,1
E02002598,E02001059,1.297455,1.297455,0,0,0,0,0,0,1.297455,0,0,0,0,31065,0,0,1
E02002598,E02001061,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,32278,0,0,1
E02002598,E02001062,5.968292,4.670837,0,0,0.778473,0,0,0,4.670837,0.518982,0,0,0,28644,0,0,1
E02002598,E02001063,2.854401,2.075928,0,0,0.518982,0,0,0,2.075928,0.259491,0,0,0,27217,0,0,1
E02002598,E02001064,1.816437,1.816437,0,0,0,0,0,0,1.816437,0,0,0,0,30373,0,0,1
E02002598,E02001066,5.189819,4.411346,0,0,0.778473,0,0,0,4.411346,0,0,0,0,29111,0,0,1
E02002598,E02001067,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,31374,0,0,1
E02002598,E02001069,0.518982,0.259491,0,0,0,0,0,0,0.259491,0.259491,0,0,0,27712,0,0,1
E02002598,E02001070,1.816437,1.556946,0,0,0.259491,0,0,0,1.556946,0,0,0,0,28728,0,0,1
E02002598,E02001073,0.518982,0.518982,0,0,0,0,0,0,0.518982,0,0,0,0,24452,0,0,1
E02002599,E02001074,0.259491,0.259491,0,0,0,0,0,0,0.259491,0,0,0,0,26769,0,0,1
