geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
chapeltown-cohousing,E02000001,0.028417,0.005683,0,0.005683,0.005683,0.005683,0,0,0.005683,0.005683,0,0,0,272740,0,0,1
chapeltown-cohousing,E02000031,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,259128,0,0,0
chapeltown-cohousing,E02000092,0.011367,0.005683,0,0,0,0.005683,0,0,0,0,0.005683,0,0,288616,0,1,0
chapeltown-cohousing,E02000187,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,270522,0,0,1
chapeltown-cohousing,E02000190,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,271293,0,0,0
chapeltown-cohousing,E02000191,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,271500,0,0,1
chapeltown-cohousing,E02000192,0.022734,0.01705,0,0,0,0.005683,0,0,0,0,0,0.01705,0,272060,1,0,0
chapeltown-cohousing,E02000208,0.011367,0,0,0,0.005683,0.005683,0,0,0,0,0,0,0,286260,0,0,0
chapeltown-cohousing,E02000285,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,258816,0,0,0
chapeltown-cohousing,E02000333,0.005683,0,0,0,0,0,0,0,0,0.005683,0,0,0,280549,0,0,0
chapeltown-cohousing,E02000387,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,273601,0,0,0
chapeltown-cohousing,E02000388,0.011367,0.011367,0,0,0,0,0,0,0.011367,0,0,0,0,274151,0,0,1
chapeltown-cohousing,E02000507,0.011367,0.005683,0,0,0,0.005683,0,0,0.005683,0,0,0,0,262525,0,0,1
chapeltown-cohousing,E02000508,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,262498,0,0,0
chapeltown-cohousing,E02000520,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,266723,0,0,1
chapeltown-cohousing,E02000551,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,274987,0,0,0
chapeltown-cohousing,E02000576,0.01705,0.005683,0,0,0,0.011367,0,0,0,0,0,0.005683,0,272153,1,0,0
chapeltown-cohousing,E02000586,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,272857,0,0,1
chapeltown-cohousing,E02000588,0.005683,0,0,0.005683,0,0,0,0,0,0,0,0,0,273629,0,0,0
chapeltown-cohousing,E02000601,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,279098,0,0,1
chapeltown-cohousing,E02000657,0.005683,0,0,0,0,0,0,0,0,0.005683,0,0,0,279244,0,0,0
chapeltown-cohousing,E02000679,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,282822,0,0,1
chapeltown-cohousing,E02000697,0.011367,0.005683,0,0,0,0.005683,0,0,0,0,0,0.005683,0,281219,1,0,0
chapeltown-cohousing,E02000791,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,274797,0,0,0
chapeltown-cohousing,E02000809,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,275122,0,0,0
chapeltown-cohousing,E02000851,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,286532,0,0,0
chapeltown-cohousing,E02000855,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,286811,0,0,0
chapeltown-cohousing,E02000878,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,273404,0,0,1
chapeltown-cohousing,E02000880,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,273964,0,0,0
chapeltown-cohousing,E02000897,0.005683,0.005683,0,0,0,0,0,0,0,0,0,0.005683,0,264923,1,0,0
chapeltown-cohousing,E02000936,0.011367,0.011367,0,0,0,0,0,0,0.011367,0,0,0,0,276656,0,0,1
chapeltown-cohousing,E02000970,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,271498,0,0,0
chapeltown-cohousing,E02000972,0.01705,0.005683,0,0,0,0.011367,0,0,0.005683,0,0,0,0,271779,0,0,1
chapeltown-cohousing,E02000977,0.011367,0,0,0,0.005683,0.005683,0,0,0,0,0,0,0,272870,0,0,0
chapeltown-cohousing,E02000979,0.011367,0,0,0.005683,0.005683,0,0,0,0,0,0,0,0,274230,0,0,0
chapeltown-cohousing,E02001026,0.01705,0.005683,0,0,0,0.011367,0,0,0,0,0,0.005683,0,55450,1,0,0
chapeltown-cohousing,E02001059,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,57295,0,0,0
chapeltown-cohousing,E02001062,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,59818,0,0,0
chapeltown-cohousing,E02001064,0.01705,0.011367,0,0,0,0.005683,0,0,0.011367,0,0,0,0,58713,0,0,1
chapeltown-cohousing,E02001086,0.011367,0,0,0,0,0.011367,0,0,0,0,0,0,0,64896,0,0,0
chapeltown-cohousing,E02001097,0.01705,0.011367,0,0,0,0,0,0,0.011367,0.005683,0,0,0,69021,0,0,1
chapeltown-cohousing,E02001111,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,48534,0,0,1
chapeltown-cohousing,E02001125,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,52159,0,0,0
chapeltown-cohousing,E02001132,0.01705,0,0,0,0.01705,0,0,0,0,0,0,0,0,41850,0,0,0
chapeltown-cohousing,E02001141,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,47246,0,0,0
chapeltown-cohousing,E02001144,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,44849,0,0,1
chapeltown-cohousing,E02001146,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,47326,0,0,1
chapeltown-cohousing,E02001157,0.01705,0.011367,0,0,0,0,0,0,0.011367,0.005683,0,0,0,66834,0,0,1
chapeltown-cohousing,E02001161,0.005683,0,0,0,0,0,0,0,0,0.005683,0,0,0,62290,0,0,0
chapeltown-cohousing,E02001164,0.005683,0.005683,0,0,0,0,0,0,0,0,0,0.005683,0,61563,1,0,0
chapeltown-cohousing,E02001168,0.005683,0.005683,0,0,0,0,0,0,0,0,0,0.005683,0,63287,1,0,0
chapeltown-cohousing,E02001176,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,64681,0,0,1
chapeltown-cohousing,E02001177,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,63214,0,0,1
chapeltown-cohousing,E02001181,0.005683,0,0,0,0,0,0,0,0,0.005683,0,0,0,66879,0,0,0
chapeltown-cohousing,E02001202,0.011367,0.011367,0,0,0,0,0,0,0.011367,0,0,0,0,62283,0,0,1
chapeltown-cohousing,E02001204,0.005683,0,0,0,0.005683,0,0,0,0,0,0,0,0,63094,0,0,0
chapeltown-cohousing,E02001260,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,67184,0,0,0
chapeltown-cohousing,E02001261,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,64651,0,0,0
chapeltown-cohousing,E02001263,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,68965,0,0,0
chapeltown-cohousing,E02001285,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,73300,0,0,1
chapeltown-cohousing,E02001311,0.011367,0,0,0,0,0,0,0,0,0.011367,0,0,0,70015,0,0,0
chapeltown-cohousing,E02001342,0.011367,0,0,0,0,0.011367,0,0,0,0,0,0,0,98273,0,0,0
chapeltown-cohousing,E02001373,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,101985,0,0,1
chapeltown-cohousing,E02001389,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,105366,0,0,1
chapeltown-cohousing,E02001410,0.005683,0,0,0,0,0,0,0,0,0.005683,0,0,0,83726,0,0,0
chapeltown-cohousing,E02001445,0.005683,0,0,0,0,0.005683,0,0,0,0,0,0,0,99214,0,0,0
chapeltown-cohousing,E02001512,0.011367,0,0,0,0,0.011367,0,0,0,0,0,0,0,24831,0,0,0
chapeltown-cohousing,E02001513,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,25249,0,0,1
chapeltown-cohousing,E02001514,0.011367,0.011367,0,0,0,0,0,0,0.011367,0,0,0,0,27383,0,0,1
chapeltown-cohousing,E02001521,0.028417,0.028417,0,0,0,0,0,0,0.028417,0,0,0,0,29098,0,0,1
chapeltown-cohousing,E02001522,0.005683,0.005683,0,0,0,0,0,0,0.005683,0,0,0,0,32612,0,0,1
