geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
clackers-brook,E02000001,0.503986,0.125996,0,0.251993,0.125996,0,0,0,0.062998,0,0,0.062998,0,141695,0.5,0,0.5
clackers-brook,E02000048,0.062998,0,0,0,0,0,0,0,0,0.062998,0,0,0,134885,0,0,0
clackers-brook,E02000052,0.062998,0,0,0,0.062998,0,0,0,0,0,0,0,0,137629,0,0,0
clackers-brook,E02000083,0.125996,0.125996,0,0,0,0,0,0,0.125996,0,0,0,0,160443,0,0,1
clackers-brook,E02000109,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,129528,0,0,1
clackers-brook,E02000124,0.062998,0,0,0,0.062998,0,0,0,0,0,0,0,0,133710,0,0,0
clackers-brook,E02000125,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,132686,0,0,1
clackers-brook,E02000186,0.062998,0,0,0,0.062998,0,0,0,0,0,0,0,0,138654,0,0,0
clackers-brook,E02000191,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,138988,0,0,1
clackers-brook,E02000228,0.062998,0,0,0,0,0,0,0,0,0.062998,0,0,0,141806,0,0,0
clackers-brook,E02000252,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,130168,0,0,1
clackers-brook,E02000288,0.125996,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0.062998,147128,0,0,1
clackers-brook,E02000371,0.125996,0,0,0,0.125996,0,0,0,0,0,0,0,0,142700,0,0,0
clackers-brook,E02000381,0.062998,0,0,0,0.062998,0,0,0,0,0,0,0,0,133009,0,0,0
clackers-brook,E02000394,0.062998,0,0,0.062998,0,0,0,0,0,0,0,0,0,134969,0,0,0
clackers-brook,E02000424,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,141190,0,0,1
clackers-brook,E02000509,0.125996,0.125996,0,0,0,0,0,0,0.125996,0,0,0,0,115272,0,0,1
clackers-brook,E02000524,0.377989,0.377989,0,0,0,0,0,0,0.314991,0,0,0.062998,0,115512,0.166667,0,0.833333
clackers-brook,E02000548,0.125996,0.125996,0,0,0,0,0,0,0.125996,0,0,0,0,117534,0,0,1
clackers-brook,E02000574,0.062998,0,0,0,0.062998,0,0,0,0,0,0,0,0,140563,0,0,0
clackers-brook,E02000575,0.188995,0.125996,0,0,0.062998,0,0,0,0.125996,0,0,0,0,141172,0,0,1
clackers-brook,E02000594,0.062998,0.062998,0,0,0,0,0,0,0.062998,0,0,0,0,136679,0,0,1
clackers-brook,E02000617,0.125996,0.125996,0,0,0,0,0,0,0.125996,0,0,0,0,126033,0,0,1
clackers-brook,E02000631,0.125996,0,0,0,0.125996,0,0,0,0,0,0,0,0,140951,0,0,0
