geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
cricklewood,E02000001,34.543315,2.382298,0,18.264281,11.514438,1.985248,0,0.39705,1.191149,0,0,1.191149,0,9383,0.5,0,0.5
cricklewood,E02000016,0.39705,0,0,0.39705,0,0,0,0,0,0,0,0,0,20202,0,0,0
cricklewood,E02000024,2.382298,0.794099,0,0.39705,0,1.191149,0,0,0.794099,0,0,0,0,10670,0,0,1
cricklewood,E02000026,0.39705,0.39705,0,0,0,0,0,0,0.39705,0,0,0,0,10861,0,0,1
cricklewood,E02000027,3.176397,1.588198,0,0,0,0.794099,0,0,1.588198,0.39705,0,0,0.39705,9655,0,0,1
cricklewood,E02000028,0.39705,0.39705,0,0,0,0,0,0,0.39705,0,0,0,0,9916,0,0,1
cricklewood,E02000029,1.191149,0.794099,0,0,0,0.39705,0,0,0.794099,0,0,0,0,10017,0,0,1
cricklewood,E02000030,1.588198,0.794099,0,0,0,0.39705,0,0,0.794099,0,0,0,0.39705,9495,0,0,1
cricklewood,E02000031,2.382298,0.39705,0,0,0,1.985248,0,0,0.39705,0,0,0,0,8648,0,0,1
cricklewood,E02000032,0.39705,0,0,0,0,0.39705,0,0,0,0,0,0,0,9656,0,0,0
cricklewood,E02000033,2.779347,0.794099,0,0,0,1.588198,0,0.39705,0.794099,0,0,0,0,8904,0,0,1
cricklewood,E02000034,1.191149,0.39705,0,0,0,0.794099,0,0,0.39705,0,0,0,0,8059,0,0,1
cricklewood,E02000035,2.779347,2.382298,0,0.39705,0,0,0,0,1.985248,0,0,0.39705,0,7301,0.166667,0,0.833333
cricklewood,E02000036,0.794099,0.39705,0,0,0.39705,0,0,0,0,0,0,0.39705,0,7910,1,0,0
cricklewood,E02000037,1.985248,0.794099,0,0.39705,0,0.39705,0,0,0.794099,0.39705,0,0,0,8409,0,0,1
cricklewood,E02000038,0.39705,0,0,0,0.39705,0,0,0,0,0,0,0,0,7483,0,0,0
cricklewood,E02000039,3.573446,0.794099,0,0,0.794099,1.985248,0,0,0.794099,0,0,0,0,6691,0,0,1
cricklewood,E02000040,3.176397,1.588198,0,0,0,1.191149,0,0,1.588198,0.39705,0,0,0,5973,0,0,1
cricklewood,E02000041,3.970496,2.382298,0,0,0,1.191149,0,0,2.382298,0.39705,0,0,0,7286,0,0,1
cricklewood,E02000042,6.749843,3.970496,0,0.39705,0.39705,1.985248,0,0,3.970496,0,0,0,0,6482,0,0,1
cricklewood,E02000043,0.794099,0.794099,0,0,0,0,0,0,0.794099,0,0,0,0,6039,0,0,1
cricklewood,E02000044,0.39705,0.39705,0,0,0,0,0,0,0.39705,0,0,0,0,6288,0,0,1
cricklewood,E02000045,0.39705,0,0,0,0,0.39705,0,0,0,0,0,0,0,6917,0,0,0
cricklewood,E02000046,2.382298,0.794099,0,0.39705,0,1.191149,0,0,0.794099,0,0,0,0,5192,0,0,1
cricklewood,E02000047,3.970496,2.382298,0,0,0,1.588198,0,0,1.588198,0,0.794099,0,0,6017,0,0.333333,0.666667
cricklewood,E02000048,1.191149,0.794099,0,0,0,0.39705,0,0,0.794099,0,0,0,0,4851,0,0,1
cricklewood,E02000049,2.779347,1.985248,0,0,0,0.794099,0,0,1.985248,0,0,0,0,5335,0,0,1
cricklewood,E02000050,1.191149,0.794099,0,0,0,0,0,0,0.39705,0.39705,0,0.39705,0,5357,0.5,0,0.5
cricklewood,E02000051,3.970496,1.588198,0,0,0,1.985248,0,0,1.588198,0.39705,0,0,0,4177,0,0,1
cricklewood,E02000052,3.573446,0.794099,0,0,0,2.779347,0,0,0.794099,0,0,0,0,4867,0,0,1
cricklewood,E02000053,8.338041,4.764595,0,0.39705,0,2.382298,0,0.39705,4.367546,0.39705,0.39705,0,0,4484,0,0.083333,0.916667
cricklewood,E02000054,3.573446,1.985248,0,0,0,1.191149,0,0,0.794099,0.39705,0,1.191149,0,3950,0.6,0,0.4
cricklewood,E02000055,13.499686,8.735091,0,0,0.39705,3.970496,0,0,4.367546,0.39705,0,4.367546,0,3324,0.5,0,0.5
cricklewood,E02000056,3.970496,2.382298,0,0.794099,0,0.794099,0,0,1.588198,0,0.794099,0,0,3849,0,0.333333,0.666667
cricklewood,E02000057,7.146893,6.749843,0,0,0,0.39705,0,0,3.573446,0,0.39705,2.779347,0,2798,0.411765,0.058824,0.529412
cricklewood,E02000058,5.955744,3.176397,0,0.39705,0,1.985248,0,0.39705,2.779347,0,0,0.39705,0,2920,0.125,0,0.875
cricklewood,E02000059,9.132141,7.543942,0,0.39705,0,0.39705,0,0,4.764595,0.794099,0.39705,2.382298,0,3001,0.315789,0.052632,0.631579
cricklewood,E02000060,3.970496,1.985248,0,0.39705,0,1.191149,0,0,0,0.39705,0,1.985248,0,2161,1,0,0
cricklewood,E02000061,9.52919,4.764595,0,0.39705,0.39705,3.573446,0,0,1.985248,0.39705,0.39705,2.382298,0,1890,0.5,0.083333,0.416667
cricklewood,E02000062,78.615819,58.36629,0,4.367546,0.39705,13.499686,0,0,11.514438,1.191149,1.191149,45.660703,0.794099,1143,0.782313,0.020408,0.197279
cricklewood,E02000063,7.543942,4.367546,0,0,0.794099,1.985248,0,0,2.382298,0.39705,0,1.985248,0,723,0.454545,0,0.545455
cricklewood,E02000064,11.514438,7.940992,0,0.39705,0,2.382298,0,0,3.176397,0.794099,0,4.764595,0,1049,0.6,0,0.4
cricklewood,E02000093,1.985248,1.191149,0,0.39705,0,0.39705,0,0,0.794099,0,0,0.39705,0,5675,0.333333,0,0.666667
cricklewood,E02000094,5.955744,2.779347,0,0,0.39705,2.382298,0,0,2.382298,0.39705,0,0.39705,0,4389,0.142857,0,0.857143
cricklewood,E02000095,0.39705,0,0,0,0,0.39705,0,0,0,0,0,0,0,5428,0,0,0
cricklewood,E02000096,0.794099,0.39705,0,0,0,0.39705,0,0,0.39705,0,0,0,0,6642,0,0,1
cricklewood,E02000098,0.39705,0,0,0,0,0.39705,0,0,0,0,0,0,0,5267,0,0,0
cricklewood,E02000099,4.367546,1.588198,0,0,0.39705,2.382298,0,0,1.588198,0,0,0,0,6068,0,0,1
cricklewood,E02000100,1.985248,0.39705,0,0.39705,0,1.191149,0,0,0.39705,0,0,0,0,7143,0,0,1
cricklewood,E02000101,3.176397,0.794099,0,0.39705,0,1.985248,0,0,0.794099,0,0,0,0,3870,0,0,1
