geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02004171,E02000001,1.318635,0.263727,0,0.791181,0.263727,0,0,0,0,0,0,0.263727,0,240388.19555,1,0,0
E02004170,E02000042,0.527454,0,0,0,0,0.527454,0,0,0,0,0,0,0,238078.018702,0,0,0
E02004170,E02000050,0.263727,0,0,0,0,0.263727,0,0,0,0,0,0,0,237765.267787,0,0,0
E02004171,E02000182,0.263727,0,0,0.263727,0,0,0,0,0,0,0,0,0,235796.462183,0,0,0
E02004171,E02000186,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,237778.769903,0,0,1
E02004171,E02000193,0.527454,0,0,0,0.527454,0,0,0,0,0,0,0,0,238387.536717,0,0,0
E02004171,E02000248,0.263727,0,0,0.263727,0,0,0,0,0,0,0,0,0,227657.973858,0,0,0
E02004170,E02000317,0.263727,0,0,0.263727,0,0,0,0,0,0,0,0,0,249255.819361,0,0,0
E02004171,E02000380,0.263727,0.263727,0,0,0,0,0,0,0,0,0.263727,0,0,230718.187813,0,1,0
E02004171,E02000392,0.263727,0,0,0,0,0.263727,0,0,0,0,0,0,0,231817.280093,0,0,0
E02004170,E02000524,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,214583.085416,0,0,1
E02004171,E02000576,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,240682.270805,0,0,0
E02004171,E02000581,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,232242.528604,0,0,0
E02004171,E02000588,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,235174.340359,0,0,1
E02004171,E02000621,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,237384.258431,0,0,0
E02004171,E02000710,0.527454,0.263727,0,0,0,0,0,0,0.263727,0.263727,0,0,0,231557.440473,0,0,1
E02004171,E02000746,0.263727,0,0,0,0,0,0.263727,0,0,0,0,0,0,250894.046179,0,0,0
E02004170,E02000890,0.527454,0.263727,0,0,0.263727,0,0,0,0.263727,0,0,0,0,242302.106506,0,0,1
E02004171,E02000933,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,229602.036667,0,0,0
E02004171,E02000977,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,237813.702625,0,0,0
E02004170,E02000978,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,235199.692865,0,0,1
E02004171,E02000979,0.263727,0,0,0,0.263727,0,0,0,0,0,0,0,0,237013.627205,0,0,0
E02004171,E02001219,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,292312.96293,0,0,1
E02004170,E02001614,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,317435.539317,0,0,1
E02004171,E02001886,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,205000.974508,0,0,1
E02004170,E02001900,0.263727,0.263727,0,0,0,0,0,0,0.263727,0,0,0,0,205082.607114,0,0,1
E02004170,E02002038,0.527454,0.527454,0,0,0,0,0,0,0.527454,0,0,0,0,198637.623903,0,0,1
