geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002109,E02000001,2.049893,0.409979,0,0,1.639915,0,0,0,0.409979,0,0,0,0,153737.118026,0,0,1
E02002109,E02000109,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,141606.83251,0,0,1
E02002109,E02000112,0.409979,0,0,0.409979,0,0,0,0,0,0,0,0,0,141265.144136,0,0,0
E02002109,E02000172,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,148665.972489,0,0,1
E02002109,E02000186,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,150134.691531,0,0,1
E02002109,E02000193,1.639915,0.409979,0,0,0.819957,0.409979,0,0,0.409979,0,0,0,0,152304.982882,0,0,1
E02002109,E02000256,0.409979,0.409979,0,0,0,0,0,0,0,0,0,0.409979,0,142501.573568,1,0,0
E02002109,E02000372,0.819957,0.409979,0,0,0.409979,0,0,0,0.409979,0,0,0,0,146317.283591,0,0,1
E02002109,E02000491,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,168440.380418,0,0,1
E02002109,E02000509,0.409979,0,0,0,0,0.409979,0,0,0,0,0,0,0,132597.765394,0,0,0
E02002109,E02000524,1.639915,1.229936,0,0,0,0,0,0,1.229936,0.409979,0,0,0,137102.253951,0,0,1
E02002109,E02000530,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,140820.417057,0,0,1
E02002109,E02000543,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,144039.843305,0,0,1
E02002109,E02000551,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,145219.628496,0,0,1
E02002109,E02000576,0.819957,0,0,0,0.819957,0,0,0,0,0,0,0,0,153397.964268,0,0,0
E02002109,E02000586,1.229936,0.409979,0,0.819957,0,0,0,0,0.409979,0,0,0,0,150542.749753,0,0,1
E02002109,E02000604,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,154426.031361,0,0,1
E02002109,E02000622,0.409979,0,0,0,0,0,0,0,0,0,0,0,0.409979,155695.192668,0,0,0
E02002109,E02000808,0.819957,0,0,0,0.819957,0,0,0,0,0,0,0,0,154879.731421,0,0,0
E02002109,E02000809,2.459872,1.229936,0,0,0.819957,0,0.409979,0,1.229936,0,0,0,0,156053.601983,0,0,1
E02002109,E02000974,1.229936,0.409979,0,0,0.819957,0,0,0,0.409979,0,0,0,0,150073.44358,0,0,1
E02002109,E02000977,1.229936,0,0,0,1.229936,0,0,0,0,0,0,0,0,152551.533739,0,0,0
E02002109,E02000978,0.819957,0,0,0,0.819957,0,0,0,0,0,0,0,0,151533.81534,0,0,0
E02002109,E02000979,1.229936,0,0,0,1.229936,0,0,0,0,0,0,0,0,153295.171139,0,0,0
E02002109,E02000990,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,142554.927604,0,0,1
E02002109,E02001076,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,120400.74449,0,0,1
E02002109,E02001132,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,141501.540313,0,0,1
E02002109,E02001177,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,126847.191907,0,0,1
E02002109,E02001261,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,123044.718468,0,0,1
E02002109,E02001320,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,130837.72639,0,0,1
E02002109,E02001461,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,143414.616728,0,0,1
E02002109,E02001579,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,128142.182322,0,0,1
E02002109,E02001798,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,283207.039112,0,0,1
E02002109,E02001829,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,22562.261806,0,0,1
E02002109,E02001830,1.229936,0.819957,0,0,0.409979,0,0,0,0.819957,0,0,0,0,20782.101709,0,0,1
E02002109,E02001832,1.639915,1.639915,0,0,0,0,0,0,1.639915,0,0,0,0,19268.582492,0,0,1
E02002109,E02001834,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,19306.946003,0,0,1
E02002109,E02001835,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,18906.203615,0,0,1
E02002109,E02001837,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,18183.034953,0,0,1
E02002109,E02001838,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,17894.063876,0,0,1
E02002109,E02001839,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,18169.431901,0,0,1
E02002109,E02001843,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,17526.564582,0,0,1
E02002109,E02001844,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,17007.447889,0,0,1
E02002109,E02001846,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,16434.074786,0,0,1
E02002109,E02001847,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,16641.506469,0,0,1
E02002109,E02001849,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,16056.818922,0,0,1
E02002109,E02001851,1.229936,1.229936,0,0,0,0,0,0,1.229936,0,0,0,0,15530.248267,0,0,1
E02002109,E02001852,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,15658.435036,0,0,1
E02002109,E02001854,9.839488,9.019531,0,0,0,0,0,0,9.019531,0.819957,0,0,0,14826.529231,0,0,1
E02002109,E02001855,2.869851,2.049893,0,0,0.409979,0,0,0,2.049893,0.409979,0,0,0,15225.917526,0,0,1
E02002109,E02001856,0.819957,0.819957,0,0,0,0,0,0,0.819957,0,0,0,0,14746.844958,0,0,1
E02002109,E02001857,2.459872,2.459872,0,0,0,0,0,0,2.459872,0,0,0,0,14414.945679,0,0,1
E02002109,E02001858,0.409979,0.409979,0,0,0,0,0,0,0.409979,0,0,0,0,15496.028667,0,0,1
