geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02003299,E02000001,267.293605,12.749951,0,5.464265,245.436547,0.455355,0.455355,1.366066,11.383884,1.366066,0,1.366066,0,32914.818393,0.107143,0,0.892857
E02003299,E02000002,0.910711,0.910711,0,0,0,0,0,0,0.910711,0,0,0,0,16486.385676,0,0,1
E02003299,E02000003,6.830331,6.374975,0,0,0,0,0,0.455355,5.91962,0,0,0.455355,0,16081.561815,0.071429,0,0.928571
E02004437,E02000004,0.910711,0.910711,0,0,0,0,0,0,0.910711,0,0,0,0,13538.930287,0,0,1
E02003299,E02000005,3.642843,2.732132,0,0,0,0,0,0.455355,2.732132,0.455355,0,0,0,15888.663743,0,0,1
E02003299,E02000007,7.741041,6.830331,0,0,0.910711,0,0,0,6.830331,0,0,0,0,15139.061563,0,0,1
E02003299,E02000008,4.098198,3.187488,0,0,0.455355,0,0.455355,0,3.187488,0,0,0,0,16566.720196,0,0,1
E02003299,E02000010,3.642843,3.187488,0,0,0,0,0,0,2.732132,0.455355,0,0.455355,0,15655.35644,0.142857,0,0.857143
E02003299,E02000011,6.374975,6.374975,0,0,0,0,0,0,6.374975,0,0,0,0,14650.531967,0,0,1
E02003299,E02000012,2.276777,2.276777,0,0,0,0,0,0,2.276777,0,0,0,0,19131.201435,0,0,1
E02003299,E02000013,2.276777,1.821422,0,0,0,0,0,0.455355,1.821422,0,0,0,0,17687.458583,0,0,1
E02003299,E02000014,1.366066,0.910711,0,0,0,0,0,0,0.910711,0.455355,0,0,0,16100.744701,0,0,1
E02003299,E02000015,1.366066,1.366066,0,0,0,0,0,0,1.366066,0,0,0,0,15119.228563,0,0,1
E02003299,E02000016,12.749951,6.830331,0,0,5.464265,0,0,0,6.830331,0.455355,0,0,0,20902.661763,0,0,1
E02004437,E02000017,1.821422,0.455355,0,0,1.366066,0,0,0,0.455355,0,0,0,0,20102.305929,0,0,1
E02003299,E02000018,1.366066,1.366066,0,0,0,0,0,0,1.366066,0,0,0,0,18252.18097,0,0,1
E02003299,E02000019,4.553554,4.098198,0,0,0,0,0,0.455355,4.098198,0,0,0,0,17107.099765,0,0,1
E02003299,E02000020,7.741041,5.91962,0,0,1.821422,0,0,0,5.464265,0,0,0.455355,0,19751.53519,0.076923,0,0.923077
E02003299,E02000021,27.776678,25.044546,0,0,0.455355,0,0.455355,1.366066,24.133835,0.455355,0,0.910711,0,15705.270675,0.036364,0,0.963636
E02003299,E02000022,4.098198,1.821422,0,0.455355,1.366066,0,0,0.455355,1.821422,0,0,0,0,20589.13184,0,0,1
E02003299,E02000023,3.642843,3.187488,0,0,0,0,0,0,3.187488,0.455355,0,0,0,18824.473698,0,0,1
E02004437,E02000028,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,38871.647624,0,0,1
E02004472,E02000031,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,38313.399378,0,0,1
E02004437,E02000039,0.455355,0,0,0,0.455355,0,0,0,0,0,0,0,0,42945.340371,0,0,0
E02004472,E02000043,0.455355,0.455355,0,0,0,0,0,0,0,0,0.455355,0,0,39352.122664,0,1,0
E02004437,E02000046,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,38975.367283,0,0,1
E02004472,E02000051,0.455355,0,0,0,0.455355,0,0,0,0,0,0,0,0,39586.718429,0,0,0
E02004437,E02000053,0.910711,0.455355,0,0,0.455355,0,0,0,0.455355,0,0,0,0,43057.293467,0,0,1
E02004472,E02000065,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,18492.752383,0,0,1
E02003299,E02000067,0.910711,0,0,0,0.455355,0.455355,0,0,0,0,0,0,0,18244.484733,0,0,0
E02003299,E02000068,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,16979.061961,0,0,1
E02003299,E02000072,2.276777,2.276777,0,0,0,0,0,0,2.276777,0,0,0,0,17027.860921,0,0,1
E02004437,E02000079,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,20618.953043,0,0,1
E02003299,E02000083,0.910711,0.455355,0,0,0,0,0,0,0.455355,0.455355,0,0,0,18769.680199,0,0,1
E02003299,E02000092,0.910711,0.910711,0,0,0,0,0,0,0.910711,0,0,0,0,24038.719238,0,0,1
E02004437,E02000094,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,43700.800967,0,0,1
E02004472,E02000098,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,45655.721492,0,0,1
E02004437,E02000099,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,46615.461189,0,0,1
E02003299,E02000100,0.455355,0,0,0,0.455355,0,0,0,0,0,0,0,0,47715.746693,0,0,0
E02004437,E02000103,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,41957.290447,0,0,1
E02004472,E02000107,0.455355,0,0,0.455355,0,0,0,0,0,0,0,0,0,41001.762412,0,0,0
E02003299,E02000109,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,45120.869996,0,0,1
E02003299,E02000121,0.910711,0.455355,0,0,0.455355,0,0,0,0.455355,0,0,0,0,46563.036903,0,0,1
E02003299,E02000134,0.910711,0.910711,0,0,0,0,0,0,0.910711,0,0,0,0,30565.884023,0,0,1
E02004472,E02000140,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,26353.678951,0,0,1
E02004437,E02000144,0.455355,0,0,0,0.455355,0,0,0,0,0,0,0,0,31572.426291,0,0,0
E02004437,E02000149,1.366066,0.910711,0,0,0,0,0,0,0.910711,0.455355,0,0,0,27629.878397,0,0,1
E02004472,E02000156,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,34632.759782,0,0,1
E02004472,E02000162,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,31599.195163,0,0,1
E02003299,E02000163,0.455355,0.455355,0,0,0,0,0,0,0.455355,0,0,0,0,30851.065677,0,0,1
E02004472,E02000168,2.276777,0.910711,0,0,1.366066,0,0,0,0.910711,0,0,0,0,35635.187535,0,0,1
E02004437,E02000173,1.821422,0,0,0,1.821422,0,0,0,0,0,0,0,0,37885.886936,0,0,0
E02004472,E02000174,0.910711,0.910711,0,0,0,0,0,0,0.910711,0,0,0,0,35269.642028,0,0,1
E02003299,E02000175,0.910711,0,0,0.455355,0.455355,0,0,0,0,0,0,0,0,39140.986139,0,0,0
E02004472,E02000183,0.455355,0,0,0.455355,0,0,0,0,0,0,0,0,0,36568.591209,0,0,0
E02003299,E02000184,1.366066,0,0,0.455355,0.910711,0,0,0,0,0,0,0,0,35459.216397,0,0,0
E02003299,E02000186,4.098198,0.455355,0,0,3.642843,0,0,0,0.455355,0,0,0,0,35860.600586,0,0,1
E02004437,E02000189,0.910711,0,0,0,0.910711,0,0,0,0,0,0,0,0,34332.96718,0,0,0
E02004437,E02000190,1.821422,0.910711,0,0.455355,0.455355,0,0,0,0.910711,0,0,0,0,34811.945565,0,0,1
E02003299,E02000191,6.374975,0.455355,0,0.910711,5.008909,0,0,0,0.455355,0,0,0,0,35573.03955,0,0,1
E02003299,E02000192,9.107108,0,0,0.910711,7.741041,0,0,0.455355,0,0,0,0,0,34133.238717,0,0,0
E02003299,E02000193,13.205306,0.910711,0,0.455355,11.83924,0,0,0,0.910711,0,0,0,0,34945.154835,0,0,1
E02004472,E02000201,0.455355,0,0,0,0.455355,0,0,0,0,0,0,0,0,36263.606929,0,0,0
