geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02001339,E02000001,1.056272,0.528136,0,0,0.528136,0,0,0,0.528136,0,0,0,0,278399,0,0,1
E02001339,E02000193,0.792204,0.528136,0,0,0.264068,0,0,0,0.528136,0,0,0,0,277248,0,0,1
E02001343,E02000220,0.264068,0,0,0,0.264068,0,0,0,0,0,0,0,0,291523,0,0,0
E02001343,E02000252,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,270933,0,0,1
E02001339,E02000370,0.264068,0,0,0,0.264068,0,0,0,0,0,0,0,0,277558,0,0,0
E02001343,E02000808,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,279789,0,0,1
E02001343,E02000851,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,287451,0,0,1
E02001343,E02000987,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,27646,0,0,1
E02001343,E02000988,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,32565,0,0,1
E02001339,E02000990,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,27267,0,0,1
E02001343,E02000999,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,31324,0,0,1
E02001343,E02001005,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,30589,0,0,1
E02001339,E02001014,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,24114,0,0,1
E02001339,E02001025,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,41134,0,0,1
E02001343,E02001040,0.528136,0.264068,0,0,0,0,0,0,0.264068,0.264068,0,0,0,37903,0,0,1
E02001339,E02001050,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,40525,0,0,1
E02001343,E02001053,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,40554,0,0,1
E02001343,E02001062,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,38681,0,0,1
E02001343,E02001073,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,34620,0,0,1
E02001343,E02001089,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,38006,0,0,1
E02001343,E02001090,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,35671,0,0,1
E02001339,E02001092,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,34064,0,0,1
E02001343,E02001093,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,35737,0,0,1
E02001343,E02001096,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,36322,0,0,1
E02001339,E02001097,2.376611,2.376611,0,0,0,0,0,0,2.376611,0,0,0,0,35297,0,0,1
E02001343,E02001112,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,44982,0,0,1
E02001339,E02001139,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,49605,0,0,1
E02001343,E02001141,0.528136,0.264068,0,0,0,0,0,0,0.264068,0.264068,0,0,0,48214,0,0,1
E02001343,E02001143,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,49201,0,0,1
E02001343,E02001146,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,48118,0,0,1
E02001339,E02001151,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,43765,0,0,1
E02001343,E02001155,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,42454,0,0,1
E02001343,E02001159,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,30036,0,0,1
E02001339,E02001160,2.112543,1.848475,0,0,0,0,0,0,1.848475,0.264068,0,0,0,28051,0,0,1
E02001339,E02001165,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,32067,0,0,1
E02001339,E02001168,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,32632,0,0,1
E02001343,E02001171,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,33357,0,0,1
E02001339,E02001177,1.056272,0.792204,0,0,0,0,0,0,0.792204,0.264068,0,0,0,33331,0,0,1
E02001339,E02001178,1.584408,1.584408,0,0,0,0,0,0,1.584408,0,0,0,0,36855,0,0,1
E02001339,E02001184,3.432883,3.432883,0,0,0,0,0,0,3.432883,0,0,0,0,35129,0,0,1
E02001339,E02001185,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,25791,0,0,1
E02001343,E02001186,0.792204,0.792204,0,0,0,0,0,0,0.792204,0,0,0,0,23851,0,0,1
E02001343,E02001195,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,45153,0,0,1
E02001343,E02001199,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,39554,0,0,1
E02001343,E02001200,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,42587,0,0,1
E02001339,E02001205,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,43285,0,0,1
E02001343,E02001208,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,39702,0,0,1
E02001343,E02001212,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,41435,0,0,1
E02001339,E02001213,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,43512,0,0,1
E02001343,E02001219,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,44207,0,0,1
E02001343,E02001225,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,40466,0,0,1
E02001343,E02001230,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,48209,0,0,1
E02001343,E02001248,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,48251,0,0,1
E02001343,E02001255,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,51202,0,0,1
E02001339,E02001259,0.792204,0.528136,0,0,0,0,0,0,0.528136,0.264068,0,0,0,35793,0,0,1
E02001339,E02001260,1.056272,1.056272,0,0,0,0,0,0,1.056272,0,0,0,0,30143,0,0,1
E02001339,E02001261,0.792204,0.792204,0,0,0,0,0,0,0.792204,0,0,0,0,33390,0,0,1
E02001343,E02001262,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,34935,0,0,1
E02001339,E02001263,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,28212,0,0,1
E02001339,E02001264,1.056272,1.056272,0,0,0,0,0,0,1.056272,0,0,0,0,31728,0,0,1
E02001339,E02001267,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,29932,0,0,1
E02001343,E02001270,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,31247,0,0,1
E02001339,E02001273,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,31635,0,0,1
E02001339,E02001275,0.528136,0.264068,0,0,0,0,0,0,0.264068,0.264068,0,0,0,24224,0,0,1
E02001343,E02001277,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,28897,0,0,1
E02001343,E02001278,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,30116,0,0,1
E02001343,E02001281,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,31011,0,0,1
E02001343,E02001282,0.792204,0.792204,0,0,0,0,0,0,0.792204,0,0,0,0,29782,0,0,1
E02001343,E02001283,0.792204,0.792204,0,0,0,0,0,0,0.792204,0,0,0,0,28564,0,0,1
E02001343,E02001285,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,29124,0,0,1
E02001339,E02001288,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,22260,0,0,1
E02001343,E02001292,1.056272,1.056272,0,0,0,0,0,0,1.056272,0,0,0,0,20488,0,0,1
E02001343,E02001294,1.584408,1.32034,0,0,0,0,0,0,1.32034,0.264068,0,0,0,19550,0,0,1
E02001343,E02001295,0.528136,0.528136,0,0,0,0,0,0,0.528136,0,0,0,0,19909,0,0,1
E02001343,E02001296,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,17947,0,0,1
E02001339,E02001297,1.848475,1.848475,0,0,0,0,0,0,1.848475,0,0,0,0,17430,0,0,1
E02001339,E02001301,1.584408,1.056272,0,0,0,0,0,0,1.056272,0.528136,0,0,0,17668,0,0,1
E02001343,E02001306,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,16801,0,0,1
E02001339,E02001307,0.792204,0.792204,0,0,0,0,0,0,0.792204,0,0,0,0,15763,0,0,1
E02001339,E02001310,0.264068,0.264068,0,0,0,0,0,0,0.264068,0,0,0,0,18441,0,0,1
