geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02001228,E02000001,1.211222,0.484489,0,0.242244,0.242244,0,0.242244,0,0.242244,0,0.242244,0,0,248416,0,0.5,0.5
E02001228,E02000166,0.484489,0.484489,0,0,0,0,0,0,0.484489,0,0,0,0,242388,0,0,1
E02003856,E02000172,0.242244,0,0,0,0.242244,0,0,0,0,0,0,0,0,243491,0,0,0
E02003856,E02000186,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,245168,0,0,1
E02001228,E02000188,0.484489,0.242244,0,0,0.242244,0,0,0,0.242244,0,0,0,0,245765,0,0,1
E02001228,E02000190,0.242244,0,0,0.242244,0,0,0,0,0,0,0,0,0,246608,0,0,0
E02001228,E02000508,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,232554,0,0,1
E02001228,E02000509,0.726733,0.484489,0,0,0,0.242244,0,0,0.484489,0,0,0,0,232553,0,0,1
E02001228,E02000524,0.968977,0.726733,0,0,0,0,0,0,0.726733,0,0,0,0.242244,237663,0,0,1
E02003856,E02000528,0.242244,0,0,0,0,0,0,0,0,0,0,0,0.242244,243597,0,0,0
E02003856,E02000534,0.242244,0,0,0.242244,0,0,0,0,0,0,0,0,0,243037,0,0,0
E02001228,E02000574,0.242244,0,0,0,0.242244,0,0,0,0,0,0,0,0,246639,0,0,0
E02003856,E02000576,0.242244,0.242244,0,0,0,0,0,0,0,0,0,0.242244,0,247926,1,0,0
E02003856,E02000664,0.242244,0,0,0,0.242244,0,0,0,0,0,0,0,0,257372,0,0,0
E02003856,E02000812,0.242244,0.242244,0,0,0,0,0,0,0,0,0,0.242244,0,250779,1,0,0
E02001228,E02000920,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,247839,0,0,1
E02003856,E02000972,0.484489,0.484489,0,0,0,0,0,0,0.484489,0,0,0,0,246763,0,0,1
E02001228,E02000974,0.242244,0,0,0.242244,0,0,0,0,0,0,0,0,0,245905,0,0,0
E02001228,E02000977,0.726733,0.242244,0,0.242244,0.242244,0,0,0,0.242244,0,0,0,0,247917,0,0,1
E02003856,E02000978,0.242244,0,0,0.242244,0,0,0,0,0,0,0,0,0,247609,0,0,0
E02003856,E02000979,0.484489,0.242244,0,0,0.242244,0,0,0,0.242244,0,0,0,0,249026,0,0,1
E02001228,E02000988,0.484489,0.484489,0,0,0,0,0,0,0.484489,0,0,0,0,32493,0,0,1
E02003856,E02000990,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,35901,0,0,1
E02001228,E02000997,0.726733,0.726733,0,0,0,0,0,0,0.726733,0,0,0,0,34534,0,0,1
E02003856,E02000998,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,31358,0,0,1
E02001228,E02000999,0.726733,0.484489,0,0,0.242244,0,0,0,0.484489,0,0,0,0,30767,0,0,1
E02001228,E02001005,0.484489,0.484489,0,0,0,0,0,0,0.484489,0,0,0,0,28495,0,0,1
E02001228,E02001009,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,29517,0,0,1
E02003856,E02001014,0.726733,0.726733,0,0,0,0,0,0,0.726733,0,0,0,0,31380,0,0,1
E02003856,E02001015,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,25941,0,0,1
E02001228,E02001017,1.211222,1.211222,0,0,0,0,0,0,1.211222,0,0,0,0,24660,0,0,1
E02001228,E02001019,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,34209,0,0,1
E02003856,E02001020,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,32651,0,0,1
E02001228,E02001021,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,31932,0,0,1
E02001228,E02001024,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,30204,0,0,1
E02001228,E02001025,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,28586,0,0,1
E02003856,E02001026,0.484489,0.484489,0,0,0,0,0,0,0.484489,0,0,0,0,28209,0,0,1
E02003856,E02001027,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,28834,0,0,1
E02003856,E02001029,0.242244,0.242244,0,0,0,0,0,0,0.242244,0,0,0,0,27269,0,0,1
E02001228,E02001031,0.726733,0.484489,0,0,0,0.242244,0,0,0.484489,0,0,0,0,26208,0,0,1
