geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
kergilliack,E02000001,0.019891,0,0,0.004973,0.009946,0,0,0,0,0.004973,0,0,0,383416,0,0,0
kergilliack,E02000159,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,386946,0,0,1
kergilliack,E02000173,0.004973,0,0,0,0.004973,0,0,0,0,0,0,0,0,379611,0,0,0
kergilliack,E02000186,0.004973,0.004973,0,0,0,0,0,0,0,0,0,0.004973,0,381025,1,0,0
kergilliack,E02000193,0.014918,0.009946,0,0,0.004973,0,0,0,0.009946,0,0,0,0,381454,0,0,1
kergilliack,E02000274,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,363643,0,0,1
kergilliack,E02000585,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,375264,0,0,1
kergilliack,E02000597,0.004973,0,0,0,0.004973,0,0,0,0,0,0,0,0,376318,0,0,0
kergilliack,E02000671,0.004973,0.004973,0,0,0,0,0,0,0,0,0,0.004973,0,384045,1,0,0
kergilliack,E02000726,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,389905,0,0,1
kergilliack,E02000767,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,397229,0,0,1
kergilliack,E02000791,0.004973,0,0,0.004973,0,0,0,0,0,0,0,0,0,367628,0,0,0
kergilliack,E02000807,0.004973,0,0,0,0.004973,0,0,0,0,0,0,0,0,386083,0,0,0
kergilliack,E02000808,0.004973,0,0,0,0,0.004973,0,0,0,0,0,0,0,382664,0,0,0
kergilliack,E02000815,0.004973,0.004973,0,0,0,0,0,0,0,0,0.004973,0,0,382476,0,1,0
kergilliack,E02000970,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,379763,0,0,1
kergilliack,E02000974,0.009946,0,0,0,0.009946,0,0,0,0,0,0,0,0,378477,0,0,0
kergilliack,E02000977,0.024864,0.009946,0,0.009946,0.004973,0,0,0,0,0,0.004973,0.004973,0,380826,0.5,0.5,0
kergilliack,E02001026,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,428402,0,0,1
kergilliack,E02001044,0.004973,0,0,0,0,0,0,0,0,0,0,0,0.004973,421891,0,0,0
kergilliack,E02001081,0.004973,0,0,0,0,0,0,0,0,0,0,0,0.004973,413062,0,0,0
kergilliack,E02001111,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,429288,0,0,1
kergilliack,E02001262,0.004973,0,0,0,0,0.004973,0,0,0,0,0,0,0,414890,0,0,0
kergilliack,E02001436,0.004973,0.004973,0,0,0,0,0,0,0.004973,0,0,0,0,412890,0,0,1
kergilliack,E02001520,0.004973,0,0,0,0,0,0,0,0,0,0,0,0.004973,451703,0,0,0
