geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02006927,E02000001,375.3398,33.040475,0,15.859428,306.615611,11.894571,1.321619,6.608095,9.251333,0,21.145904,2.643238,0,10843,0.08,0.64,0.28
E02006927,E02000003,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,14752,0,0,1
E02006927,E02000019,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,11177,0,0,1
E02006927,E02000020,3.964857,3.964857,0,0,0,0,0,0,3.964857,0,0,0,0,9373,0,0,1
E02006927,E02000021,5.286476,5.286476,0,0,0,0,0,0,5.286476,0,0,0,0,11951,0,0,1
E02006927,E02000022,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,8931,0,0,0
E02006927,E02000025,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,25876,0,0,0
E02006927,E02000028,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,25067,0,0,0
E02006927,E02000033,3.964857,0,0,3.964857,0,0,0,0,0,0,0,0,0,22411,0,0,0
E02006927,E02000048,1.321619,1.321619,0,0,0,0,0,0,0,0,1.321619,0,0,23046,0,1,0
E02006927,E02000051,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,21764,0,0,0
E02006927,E02000053,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,24277,0,0,0
E02006927,E02000058,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,20817,0,0,0
E02006927,E02000059,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,23006,0,0,0
E02006927,E02000065,3.964857,2.643238,0,0,0,1.321619,0,0,2.643238,0,0,0,0,8725,0,0,1
E02006927,E02000067,2.643238,2.643238,0,0,0,0,0,0,2.643238,0,0,0,0,8857,0,0,1
E02006927,E02000068,3.964857,3.964857,0,0,0,0,0,0,3.964857,0,0,0,0,10420,0,0,1
E02006927,E02000069,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,9447,0,0,1
E02006927,E02000071,6.608095,2.643238,0,0,2.643238,0,0,0,2.643238,1.321619,0,0,0,9111,0,0,1
E02006927,E02000072,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,11152,0,0,1
E02006927,E02000073,5.286476,1.321619,0,1.321619,1.321619,1.321619,0,0,1.321619,0,0,0,0,6954,0,0,1
E02006927,E02000074,3.964857,1.321619,0,0,1.321619,0,0,0,1.321619,1.321619,0,0,0,10431,0,0,1
E02006927,E02000077,3.964857,3.964857,0,0,0,0,0,0,2.643238,0,0,1.321619,0,6147,0.333333,0,0.666667
E02006927,E02000079,22.467523,13.21619,0,0,0,7.929714,0,1.321619,13.21619,0,0,0,0,7622,0,0,1
E02006927,E02000080,10.572952,3.964857,0,0,0,6.608095,0,0,3.964857,0,0,0,0,5249,0,0,1
E02006927,E02000081,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,9021,0,0,1
E02006927,E02000082,5.286476,5.286476,0,0,0,0,0,0,5.286476,0,0,0,0,4298,0,0,1
E02006927,E02000083,5.286476,3.964857,0,0,0,1.321619,0,0,3.964857,0,0,0,0,10814,0,0,1
E02006927,E02000084,2.643238,1.321619,0,0,0,1.321619,0,0,1.321619,0,0,0,0,7077,0,0,1
E02006927,E02000085,2.643238,2.643238,0,0,0,0,0,0,2.643238,0,0,0,0,5730,0,0,1
E02006927,E02000086,7.929714,5.286476,0,0,0,2.643238,0,0,5.286476,0,0,0,0,4912,0,0,1
E02006927,E02000087,7.929714,5.286476,0,0,0,2.643238,0,0,5.286476,0,0,0,0,8554,0,0,1
E02006927,E02000088,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,6914,0,0,1
E02006927,E02000089,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,4744,0,0,0
E02006927,E02000090,15.859428,10.572952,0,1.321619,0,3.964857,0,0,10.572952,0,0,0,0,5808,0,0,1
E02006927,E02000091,6.608095,5.286476,0,0,0,1.321619,0,0,5.286476,0,0,0,0,6809,0,0,1
E02006927,E02000092,9.251333,5.286476,0,2.643238,0,1.321619,0,0,5.286476,0,0,0,0,8157,0,0,1
E02006927,E02000109,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,23697,0,0,0
E02006927,E02000117,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,21497,0,0,0
E02006927,E02000119,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,22041,0,0,0
E02006927,E02000121,3.964857,2.643238,0,0,1.321619,0,0,0,1.321619,0,0,1.321619,0,24430,0.5,0,0.5
E02006927,E02000127,6.608095,5.286476,0,0,0,1.321619,0,0,5.286476,0,0,0,0,3582,0,0,1
E02006927,E02000128,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,4876,0,0,1
E02006927,E02000130,3.964857,1.321619,0,0,0,2.643238,0,0,1.321619,0,0,0,0,7139,0,0,1
E02006927,E02000131,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,8370,0,0,1
E02006927,E02000132,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,6389,0,0,1
E02006927,E02000133,6.608095,1.321619,0,0,0,5.286476,0,0,1.321619,0,0,0,0,5810,0,0,1
E02006927,E02000134,22.467523,10.572952,0,3.964857,0,6.608095,0,0,9.251333,1.321619,0,1.321619,0,5393,0.125,0,0.875
E02006927,E02000135,2.643238,0,0,0,1.321619,1.321619,0,0,0,0,0,0,0,8074,0,0,0
E02006927,E02000136,3.964857,1.321619,0,0,0,1.321619,0,0,1.321619,1.321619,0,0,0,7581,0,0,1
E02006927,E02000137,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,6269,0,0,1
E02006927,E02000138,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,6557,0,0,0
E02006927,E02000139,6.608095,2.643238,0,0,2.643238,1.321619,0,0,2.643238,0,0,0,0,7654,0,0,1
E02006927,E02000140,2.643238,0,0,0,0,2.643238,0,0,0,0,0,0,0,8354,0,0,0
E02006927,E02000142,13.21619,7.929714,0,0,0,3.964857,0,0,7.929714,1.321619,0,0,0,6163,0,0,1
E02006927,E02000144,29.075618,14.537809,0,1.321619,1.321619,9.251333,0,0,14.537809,2.643238,0,0,0,6817,0,0,1
E02006927,E02000145,11.894571,6.608095,0,0,0,5.286476,0,0,6.608095,0,0,0,0,9643,0,0,1
E02006927,E02000146,2.643238,0,0,0,1.321619,1.321619,0,0,0,0,0,0,0,7229,0,0,0
E02006927,E02000149,5.286476,2.643238,0,0,0,1.321619,0,1.321619,2.643238,0,0,0,0,9233,0,0,1
E02006927,E02000150,5.286476,5.286476,0,0,0,0,0,0,5.286476,0,0,0,0,8517,0,0,1
E02006927,E02000152,3.964857,2.643238,0,0,0,1.321619,0,0,2.643238,0,0,0,0,8342,0,0,1
E02006927,E02000153,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,8679,0,0,1
E02006927,E02000154,13.21619,9.251333,0,0,2.643238,1.321619,0,0,9.251333,0,0,0,0,10078,0,0,1
E02006927,E02000157,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,10235,0,0,1
E02006927,E02000159,3.964857,2.643238,0,0,1.321619,0,0,0,2.643238,0,0,0,0,10035,0,0,1
E02006927,E02000160,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,10156,0,0,1
E02006927,E02000162,5.286476,3.964857,0,0,0,1.321619,0,0,3.964857,0,0,0,0,11282,0,0,1
E02006927,E02000163,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,12717,0,0,1
E02006927,E02000166,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,16741,0,0,0
E02006927,E02000168,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,15909,0,0,0
E02006927,E02000170,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,18968,0,0,0
E02006927,E02000171,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,16647,0,0,0
E02006927,E02000172,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,15911,0,0,0
E02006927,E02000173,2.643238,1.321619,0,0,1.321619,0,0,0,1.321619,0,0,0,0,17242,0,0,1
E02006927,E02000176,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,16796,0,0,0
E02006927,E02000178,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,18573,0,0,0
E02006927,E02000180,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,14534,0,0,0
E02006927,E02000183,7.929714,0,0,0,6.608095,1.321619,0,0,0,0,0,0,0,15466,0,0,0
E02006927,E02000184,5.286476,0,0,0,5.286476,0,0,0,0,0,0,0,0,14479,0,0,0
E02006927,E02000186,22.467523,2.643238,0,3.964857,15.859428,0,0,0,2.643238,0,0,0,0,14479,0,0,1
E02006927,E02000187,5.286476,0,0,2.643238,2.643238,0,0,0,0,0,0,0,0,13806,0,0,0
E02006927,E02000188,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,14055,0,0,0
E02006927,E02000189,2.643238,0,0,0,2.643238,0,0,0,0,0,0,0,0,12660,0,0,0
E02006927,E02000190,7.929714,2.643238,0,1.321619,3.964857,0,0,0,1.321619,0,1.321619,0,0,12968,0,0.5,0.5
E02006927,E02000191,29.075618,3.964857,0,9.251333,13.21619,2.643238,0,0,0,0,3.964857,0,0,13288,0,1,0
E02006927,E02000192,23.789142,1.321619,0,1.321619,19.824285,1.321619,0,0,0,0,1.321619,0,0,12026,0,1,0
E02006927,E02000193,51.543142,5.286476,0,3.964857,40.970189,1.321619,0,0,2.643238,0,2.643238,0,0,12399,0,0.5,0.5
E02006927,E02000194,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,9298,0,0,0
E02006927,E02000195,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,10383,0,0,1
E02006927,E02000199,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,10453,0,0,0
E02006927,E02000200,1.321619,1.321619,0,0,0,0,0,0,0,0,0,1.321619,0,9910,1,0,0
E02006927,E02000206,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,11191,0,0,0
E02006927,E02000207,2.643238,1.321619,0,0,0,0,0,0,1.321619,1.321619,0,0,0,10277,0,0,1
E02006927,E02000208,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,12302,0,0,1
E02006927,E02000210,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,11083,0,0,1
E02006927,E02000213,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,12355,0,0,0
E02006927,E02000217,9.251333,5.286476,0,0,2.643238,1.321619,0,0,5.286476,0,0,0,0,13632,0,0,1
E02006927,E02000220,3.964857,1.321619,0,0,2.643238,0,0,0,1.321619,0,0,0,0,13475,0,0,1
E02006927,E02000221,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,14571,0,0,0
E02006927,E02000226,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,14083,0,0,0
E02006927,E02000248,3.964857,0,0,1.321619,0,2.643238,0,0,0,0,0,0,0,23520,0,0,0
E02006927,E02000252,5.286476,2.643238,0,0,2.643238,0,0,0,2.643238,0,0,0,0,21280,0,0,1
E02006927,E02000256,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,24663,0,0,0
E02006927,E02000260,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,28467,0,0,0
E02006927,E02000265,1.321619,0,0,0,0,1.321619,0,0,0,0,0,0,0,25102,0,0,0
E02006927,E02000266,1.321619,0,0,1.321619,0,0,0,0,0,0,0,0,0,27543,0,0,0
E02006927,E02000267,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,25958,0,0,0
E02006927,E02000270,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,21437,0,0,0
E02006927,E02000272,1.321619,1.321619,0,0,0,0,0,0,1.321619,0,0,0,0,24956,0,0,1
E02006927,E02000287,2.643238,0,0,2.643238,0,0,0,0,0,0,0,0,0,25114,0,0,0
E02006927,E02000290,2.643238,1.321619,0,0,0,0,0,1.321619,1.321619,0,0,0,0,21329,0,0,1
E02006927,E02000291,1.321619,0,0,0,1.321619,0,0,0,0,0,0,0,0,21835,0,0,0
E02006927,E02000296,2.643238,1.321619,0,0,0,1.321619,0,0,0,0,0,1.321619,0,22951,1,0,0
E02006927,E02000309,1.321619,1.321619,0,0,0,0,0,0,0,0,0,1.321619,0,18107,1,0,0
E02006927,E02000314,31.718856,21.145904,0,0,0,9.251333,0,1.321619,18.502666,0,0,2.643238,0,6621,0.125,0,0.875
E02006927,E02000315,7.929714,6.608095,0,0,0,0,0,0,6.608095,1.321619,0,0,0,7047,0,0,1
E02006927,E02000316,88.548474,56.829618,0,0,5.286476,18.502666,0,2.643238,47.578284,5.286476,1.321619,7.929714,0,4295,0.139535,0.023256,0.837209
E02006927,E02000317,3.964857,2.643238,0,0,0,1.321619,0,0,2.643238,0,0,0,0,3691,0,0,1
