geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
lockleaze,E02000001,0.203645,0.050911,0,0,0.025456,0.127278,0,0,0.025456,0,0,0.025456,0,172194,0.5,0,0.5
lockleaze,E02000024,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,165428,0,0,1
lockleaze,E02000049,0.050911,0.025456,0,0,0,0,0,0,0.025456,0.025456,0,0,0,162012,0,0,1
lockleaze,E02000055,0.025456,0,0,0,0,0.025456,0,0,0,0,0,0,0,163558,0,0,0
lockleaze,E02000175,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,165546,0,0,1
lockleaze,E02000191,0.050911,0,0,0,0.025456,0.025456,0,0,0,0,0,0,0,169441,0,0,0
lockleaze,E02000193,0.050911,0,0,0.025456,0.025456,0,0,0,0,0,0,0,0,170165,0,0,0
lockleaze,E02000327,0.025456,0.025456,0,0,0,0,0,0,0,0,0,0.025456,0,183202,1,0,0
lockleaze,E02000430,0.025456,0,0,0,0,0.025456,0,0,0,0,0,0,0,170663,0,0,0
lockleaze,E02000524,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,146225,0,0,1
lockleaze,E02000551,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,152335,0,0,1
lockleaze,E02000615,0.050911,0.025456,0,0,0,0.025456,0,0,0.025456,0,0,0,0,158592,0,0,1
lockleaze,E02000622,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,171033,0,0,1
lockleaze,E02000659,0.025456,0,0,0,0.025456,0,0,0,0,0,0,0,0,178317,0,0,0
lockleaze,E02000734,0.025456,0,0,0,0,0.025456,0,0,0,0,0,0,0,180029,0,0,0
lockleaze,E02000808,0.025456,0,0,0.025456,0,0,0,0,0,0,0,0,0,172115,0,0,0
lockleaze,E02000809,0.025456,0,0,0.025456,0,0,0,0,0,0,0,0,0,173499,0,0,0
lockleaze,E02000896,0.025456,0.025456,0,0,0,0,0,0,0,0,0.025456,0,0,179564,0,1,0
lockleaze,E02000902,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,178351,0,0,1
lockleaze,E02000918,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,179699,0,0,1
lockleaze,E02000940,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,165504,0,0,1
lockleaze,E02000972,0.127278,0.025456,0,0,0.025456,0.050911,0,0,0.025456,0.025456,0,0,0,169065,0,0,1
lockleaze,E02000975,0.025456,0,0,0,0.025456,0,0,0,0,0,0,0,0,166289,0,0,0
lockleaze,E02000977,0.050911,0.050911,0,0,0,0,0,0,0,0,0.025456,0.025456,0,169804,0.5,0.5,0
lockleaze,E02001097,0.280012,0.280012,0,0,0,0,0,0,0.203645,0,0.076367,0,0,211141,0,0.272727,0.727273
lockleaze,E02001157,0.050911,0.050911,0,0,0,0,0,0,0.050911,0,0,0,0,228347,0,0,1
lockleaze,E02001177,0.050911,0.025456,0,0,0,0,0,0,0.025456,0.025456,0,0,0,223610,0,0,1
lockleaze,E02001686,0.025456,0,0,0,0,0,0,0,0,0.025456,0,0,0,390785,0,0,0
lockleaze,E02001825,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,379041,0,0,1
lockleaze,E02001905,0.025456,0,0,0,0.025456,0,0,0,0,0,0,0,0,117162,0,0,0
lockleaze,E02001958,0.050911,0.050911,0,0,0,0,0,0,0.050911,0,0,0,0,131019,0,0,1
lockleaze,E02002014,0.025456,0.025456,0,0,0,0,0,0,0,0,0.025456,0,0,118131,0,1,0
lockleaze,E02002063,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,120027,0,0,1
lockleaze,E02002133,0.025456,0,0,0,0,0,0,0,0,0.025456,0,0,0,129842,0,0,0
lockleaze,E02002251,0.101822,0.076367,0,0,0,0,0,0,0.050911,0.025456,0.025456,0,0,254525,0,0.333333,0.666667
lockleaze,E02002400,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,265775,0,0,1
lockleaze,E02002582,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,206127,0,0,1
lockleaze,E02002591,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,218658,0,0,1
lockleaze,E02002607,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,211561,0,0,1
lockleaze,E02002677,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,294749,0,0,1
lockleaze,E02002819,0.025456,0.025456,0,0,0,0,0,0,0.025456,0,0,0,0,175613,0,0,1
