geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
long-marston,E02000001,10.158644,1.93498,0,0.96749,6.77243,0.483745,0,0,1.451235,0,0,0.483745,0,133493,0.25,0,0.75
long-marston,E02000066,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,148294,0,0,1
long-marston,E02000117,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,122924,0,0,1
long-marston,E02000119,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,122471,0,0,1
long-marston,E02000184,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,129874,0,0,0
long-marston,E02000186,0.96749,0,0,0,0.96749,0,0,0,0,0,0,0,0,129823,0,0,0
long-marston,E02000190,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,131327,0,0,1
long-marston,E02000191,1.93498,0.483745,0,0,0.96749,0.483745,0,0,0.483745,0,0,0,0,130988,0,0,1
long-marston,E02000192,0.96749,0,0,0,0.96749,0,0,0,0,0,0,0,0,132269,0,0,0
long-marston,E02000193,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,131878,0,0,0
long-marston,E02000311,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,128168,0,0,1
long-marston,E02000333,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,143074,0,0,0
long-marston,E02000344,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,148176,0,0,1
long-marston,E02000354,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,133399,0,0,1
long-marston,E02000372,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,125221,0,0,1
long-marston,E02000384,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,127510,0,0,0
long-marston,E02000479,0.96749,0.96749,0,0,0,0,0,0,0.96749,0,0,0,0,148134,0,0,1
long-marston,E02000509,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,110252,0,0,1
long-marston,E02000520,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,115573,0,0,1
long-marston,E02000524,1.93498,1.93498,0,0,0,0,0,0,1.93498,0,0,0,0,114310,0,0,1
long-marston,E02000528,0.96749,0.96749,0,0,0,0,0,0,0.96749,0,0,0,0,123624,0,0,1
long-marston,E02000531,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,123033,0,0,1
long-marston,E02000534,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,122100,0,0,1
long-marston,E02000538,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,118512,0,0,1
long-marston,E02000548,1.451235,1.451235,0,0,0,0,0,0,1.451235,0,0,0,0,118878,0,0,1
long-marston,E02000572,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,131168,0,0,1
long-marston,E02000574,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,131735,0,0,0
long-marston,E02000576,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,133236,0,0,0
long-marston,E02000606,0.483745,0,0,0,0,0.483745,0,0,0,0,0,0,0,129461,0,0,0
long-marston,E02000680,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,140638,0,0,1
long-marston,E02000704,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,133018,0,0,1
long-marston,E02000735,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,140376,0,0,0
long-marston,E02000791,0.483745,0.483745,0,0,0,0,0,0,0,0,0,0.483745,0,125763,1,0,0
long-marston,E02000804,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,126059,0,0,1
long-marston,E02000808,1.451235,0.96749,0,0,0.483745,0,0,0,0.96749,0,0,0,0,134425,0,0,1
long-marston,E02000809,0.96749,0.96749,0,0,0,0,0,0,0.96749,0,0,0,0,135688,0,0,1
long-marston,E02000818,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,135436,0,0,1
long-marston,E02000851,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,137870,0,0,1
long-marston,E02000884,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,135557,0,0,0
long-marston,E02000890,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,136437,0,0,1
long-marston,E02000919,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,136567,0,0,1
long-marston,E02000962,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,128196,0,0,1
long-marston,E02000966,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,127952,0,0,1
long-marston,E02000967,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,129479,0,0,0
long-marston,E02000970,1.451235,0.483745,0,0,0.96749,0,0,0,0.483745,0,0,0,0,130247,0,0,1
long-marston,E02000972,3.86996,3.386215,0,0.483745,0,0,0,0,3.386215,0,0,0,0,130903,0,0,1
long-marston,E02000974,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,129372,0,0,0
long-marston,E02000977,6.77243,2.418725,0,0,3.386215,0.483745,0.483745,0,2.418725,0,0,0,0,132008,0,0,1
long-marston,E02000979,2.418725,0.483745,0,0,1.451235,0.483745,0,0,0.483745,0,0,0,0,132554,0,0,1
long-marston,E02000980,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,132949,0,0,0
long-marston,E02000982,0.483745,0,0,0,0.483745,0,0,0,0,0,0,0,0,132216,0,0,0
long-marston,E02001097,0.483745,0.483745,0,0,0,0,0,0,0.483745,0,0,0,0,141643,0,0,1
