geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
marsh-barton,E02000184,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,254664,0,0,1
marsh-barton,E02000215,5.304895,5.304895,0,0,0,0,0,0,0,0,0,5.304895,0,252686,1,0,0
marsh-barton,E02000403,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,258902,0,0,1
marsh-barton,E02000473,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,280038,0,0,1
marsh-barton,E02000524,3.536597,1.768298,0,0,0,1.768298,0,0,1.768298,0,0,0,0,231110,0,0,1
marsh-barton,E02000531,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,241361,0,0,1
marsh-barton,E02000602,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,239869,0,0,1
marsh-barton,E02000755,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,269518,0,0,1
marsh-barton,E02000979,1.768298,0,0,0,1.768298,0,0,0,0,0,0,0,0,253204,0,0,0
marsh-barton,E02001019,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,337093,0,0,1
marsh-barton,E02002099,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,224607,0,0,1
marsh-barton,E02002911,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,162414,0,0,1
marsh-barton,E02002993,1.768298,0,0,0,1.768298,0,0,0,0,0,0,0,0,110574,0,0,0
marsh-barton,E02003006,1.768298,0,0,0,0,0,0,0,0,1.768298,0,0,0,102844,0,0,0
marsh-barton,E02003014,3.536597,3.536597,0,0,0,0,0,0,1.768298,0,0,1.768298,0,107028,0.5,0,0.5
marsh-barton,E02003025,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,109343,0,0,1
marsh-barton,E02003043,3.536597,3.536597,0,0,0,0,0,0,1.768298,0,0,1.768298,0,105374,0.5,0,0.5
marsh-barton,E02003110,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,113900,0,0,1
marsh-barton,E02003121,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,0,109206,0,0,0
marsh-barton,E02003122,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,51840,0,0,1
marsh-barton,E02003126,7.073194,5.304895,0,0,0,1.768298,0,0,5.304895,0,0,0,0,52163,0,0,1
marsh-barton,E02003129,1.768298,0,0,0,0,0,0,0,0,1.768298,0,0,0,54296,0,0,0
marsh-barton,E02003132,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,56341,0,0,1
marsh-barton,E02003135,5.304895,5.304895,0,0,0,0,0,0,5.304895,0,0,0,0,58060,0,0,1
marsh-barton,E02003138,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,56126,0,0,1
marsh-barton,E02003144,1.768298,1.768298,0,0,0,0,0,0,0,0,0,1.768298,0,56477,1,0,0
marsh-barton,E02003147,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,59219,0,0,1
marsh-barton,E02003148,8.841492,5.304895,0,0,3.536597,0,0,0,5.304895,0,0,0,0,56995,0,0,1
marsh-barton,E02003149,3.536597,3.536597,0,0,0,0,0,0,3.536597,0,0,0,0,56416,0,0,1
marsh-barton,E02003150,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,58108,0,0,1
marsh-barton,E02003152,1.768298,1.768298,0,0,0,0,0,0,0,0,0,1.768298,0,56460,1,0,0
marsh-barton,E02003155,8.841492,8.841492,0,0,0,0,0,0,8.841492,0,0,0,0,24834,0,0,1
marsh-barton,E02003156,10.609791,10.609791,0,0,0,0,0,0,10.609791,0,0,0,0,24976,0,0,1
marsh-barton,E02003157,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,25718,0,0,1
marsh-barton,E02003161,17.682984,15.914686,0,0,0,0,0,0,15.914686,1.768298,0,0,0,26654,0,0,1
marsh-barton,E02003166,10.609791,10.609791,0,0,0,0,0,0,10.609791,0,0,0,0,30266,0,0,1
marsh-barton,E02003167,3.536597,3.536597,0,0,0,0,0,0,3.536597,0,0,0,0,30474,0,0,1
marsh-barton,E02003168,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,31750,0,0,1
marsh-barton,E02003171,1.768298,1.768298,0,0,0,0,0,0,1.768298,0,0,0,0,35762,0,0,1
