site_name,walk_base,cycle_base,drive_base,other_base
allerton-bywater,24,7,403,117
ashton-park,303,72,1680,291
aylesbury,275,56,1947,448
aylesham,101,15,678,170
bailrigg,523,145,1518,509
bath-riverside,712,87,626,394
bicester,509,219,4280,910
castlemead,65,17,440,69
chapelford,100,47,1929,258
chapeltown-cohousing,11,1,19,14
clackers-brook,69,30,466,61
cricklewood,96,20,245,533
culm,166,39,1146,214
dickens-heath,55,17,1427,242
didcot,285,137,2130,485
dunton-hills,203,50,2402,1079
ebbsfleet,335,69,3716,2316
exeter-red-cow-village,196,38,210,101
great-kneighton,337,669,747,409
halsnead,122,23,969,328
hampton,488,371,4514,1249
handforth,137,35,1109,221
kergilliack,3,1,25,0
kidbrooke-village,208,148,1184,2365
lcid,213,11,189,150
lockleaze,24,19,80,28
long-marston,149,43,2402,321
marsh-barton,1294,473,3156,1009
micklefield,11,3,218,49
newborough-road,36,58,907,200
newcastle-great-park,287,93,2509,1162
northwick-park,219,17,605,649
poundbury,424,59,1207,183
priors-hall,463,123,3383,657
taunton-firepool,264,85,400,92
taunton-garden,559,392,2899,519
trumpington-meadows,116,246,550,182
tyersal-lane,30,3,139,52
upton,40,24,1216,185
water-lane,365,133,883,285
wichelstowe,643,168,2958,643
wixams,253,120,3194,638
wynyard,116,23,1967,256
