geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
newborough-road,E02000001,4.612245,0,0,0,4.282799,0.329446,0,0,0,0,0,0,0,123116,0,0,0
newborough-road,E02000029,0.658892,0.329446,0,0,0.329446,0,0,0,0.329446,0,0,0,0,109106,0,0,1
newborough-road,E02000053,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,114575,0,0,1
newborough-road,E02000061,0.658892,0,0,0,0.658892,0,0,0,0,0,0,0,0,117037,0,0,0
newborough-road,E02000112,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,119185,0,0,1
newborough-road,E02000119,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,120310,0,0,1
newborough-road,E02000134,0.329446,0,0,0,0,0.329446,0,0,0,0,0,0,0,135858,0,0,0
newborough-road,E02000187,0.988338,0,0,0,0.988338,0,0,0,0,0,0,0,0,121549,0,0,0
newborough-road,E02000188,0.658892,0,0,0,0.658892,0,0,0,0,0,0,0,0,121874,0,0,0
newborough-road,E02000190,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,122186,0,0,0
newborough-road,E02000191,0.988338,0,0,0,0.988338,0,0,0,0,0,0,0,0,122616,0,0,0
newborough-road,E02000192,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,122770,0,0,0
newborough-road,E02000193,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,123173,0,0,0
newborough-road,E02000243,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,120926,0,0,1
newborough-road,E02000252,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,122604,0,0,1
newborough-road,E02000283,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,107932,0,0,1
newborough-road,E02000370,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,121769,0,0,0
newborough-road,E02000371,1.64723,0.329446,0,0,1.317784,0,0,0,0.329446,0,0,0,0,122093,0,0,1
newborough-road,E02000372,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,123042,0,0,0
newborough-road,E02000383,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,125692,0,0,1
newborough-road,E02000384,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,125832,0,0,0
newborough-road,E02000400,0.329446,0,0,0,0.329446,0,0,0,0,0,0,0,0,113551,0,0,0
newborough-road,E02000421,0.658892,0,0,0.658892,0,0,0,0,0,0,0,0,0,116008,0,0,0
newborough-road,E02000520,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,124374,0,0,1
newborough-road,E02000552,0.329446,0.329446,0,0,0,0,0,0,0.329446,0,0,0,0,132492,0,0,1
newborough-road,E02000568,0.658892,0,0,0,0.658892,0,0,0,0,0,0,0,0,120069,0,0,0
