geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02001708,E02000001,1.709979,0.683992,0,0.341996,0.683992,0,0,0,0.683992,0,0,0,0,404074.020294,0,0,1
E02001711,E02000052,0.341996,0.341996,0,0,0,0,0,0,0.341996,0,0,0,0,394978.427915,0,0,1
E02001709,E02000112,0.341996,0,0,0,0.341996,0,0,0,0,0,0,0,0,397471.730759,0,0,0
E02001711,E02000187,0.341996,0,0,0,0.341996,0,0,0,0,0,0,0,0,402077.315465,0,0,0
E02001708,E02000267,11.285864,4.787942,0,1.025988,0.341996,4.103951,0.341996,0,4.445946,0.683992,0.341996,0,0,401609.979357,0,0.071429,0.928571
E02001708,E02000285,0.341996,0,0,0.341996,0,0,0,0,0,0,0,0,0,389452.426046,0,0,0
E02001708,E02000288,0.341996,0,0,0.341996,0,0,0,0,0,0,0,0,0,390947.7473,0,0,0
E02001709,E02000372,0.341996,0,0,0,0.341996,0,0,0,0,0,0,0,0,402009.649279,0,0,0
E02001708,E02000383,0.341996,0,0,0.341996,0,0,0,0,0,0,0,0,0,405047.637975,0,0,0
E02001709,E02000389,0.341996,0,0,0.341996,0,0,0,0,0,0,0,0,0,406151.228676,0,0,0
E02001708,E02000416,0.683992,0.683992,0,0,0,0,0,0,0.683992,0,0,0,0,396243.488508,0,0,1
E02001709,E02000491,0.341996,0.341996,0,0,0,0,0,0,0.341996,0,0,0,0,408312.03361,0,0,1
E02001711,E02000507,0.341996,0,0,0,0,0.341996,0,0,0,0,0,0,0,395942.132762,0,0,0
E02001711,E02000520,0.341996,0.341996,0,0,0,0,0,0,0.341996,0,0,0,0,400081.562989,0,0,1
E02001708,E02000524,1.709979,0,0,0,0,0,0,0,0,0,0,0,1.709979,401706.848761,0,0,0
E02001709,E02000531,0.341996,0.341996,0,0,0,0,0,0,0.341996,0,0,0,0,404033.642904,0,0,1
E02001708,E02000545,0.341996,0.341996,0,0,0,0,0,0,0.341996,0,0,0,0,406656.067883,0,0,1
