geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
northwick-park,E02000001,55.193429,4.380431,0,43.366266,5.69456,0.876086,0,0,3.504345,0.876086,0,0.876086,0,16337,0.2,0,0.8
northwick-park,E02000022,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,27834,0,0,1
northwick-park,E02000024,1.314129,0.876086,0,0.438043,0,0,0,0,0.876086,0,0,0,0,11675,0,0,1
northwick-park,E02000027,2.628259,2.628259,0,0,0,0,0,0,2.628259,0,0,0,0,10926,0,0,1
northwick-park,E02000029,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,12822,0,0,1
northwick-park,E02000033,1.314129,0.438043,0,0.876086,0,0,0,0,0.438043,0,0,0,0,12781,0,0,1
northwick-park,E02000034,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,11752,0,0,1
northwick-park,E02000035,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,10450,0,0,1
northwick-park,E02000036,0.876086,0.438043,0,0,0,0.438043,0,0,0.438043,0,0,0,0,6387,0,0,1
northwick-park,E02000037,0.876086,0.876086,0,0,0,0,0,0,0,0,0.876086,0,0,5792,0,1,0
northwick-park,E02000038,1.314129,0.876086,0,0,0,0,0,0,0.876086,0.438043,0,0,0,11844,0,0,1
northwick-park,E02000039,1.314129,0.876086,0,0,0,0.438043,0,0,0.876086,0,0,0,0,6633,0,0,1
northwick-park,E02000040,0.438043,0,0,0,0.438043,0,0,0,0,0,0,0,0,7816,0,0,0
northwick-park,E02000041,4.818474,3.066302,0,0,0,1.752172,0,0,3.066302,0,0,0,0,5235,0,0,1
northwick-park,E02000042,0.876086,0.438043,0,0.438043,0,0,0,0,0.438043,0,0,0,0,10268,0,0,1
northwick-park,E02000044,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,5633,0,0,1
northwick-park,E02000046,0.438043,0,0,0,0,0.438043,0,0,0,0,0,0,0,9169,0,0,0
northwick-park,E02000047,1.314129,1.314129,0,0,0,0,0,0,1.314129,0,0,0,0,4724,0,0,1
northwick-park,E02000049,0.438043,0,0,0,0,0.438043,0,0,0,0,0,0,0,5572,0,0,0
northwick-park,E02000050,0.438043,0.438043,0,0,0,0,0,0,0.438043,0,0,0,0,9927,0,0,1
northwick-park,E02000051,0.876086,0.438043,0,0,0,0,0,0,0.438043,0.438043,0,0,0,8271,0,0,1
northwick-park,E02000052,1.314129,0.876086,0,0,0.438043,0,0,0,0.876086,0,0,0,0,10146,0,0,1
