geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02005614,E02000001,28.244155,2.824416,0,0.941472,24.478268,0,0,0,0.941472,0,0.941472,0.941472,0,116329.557873,0.333333,0.333333,0.333333
E02005614,E02000016,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,118442.262527,0,0,1
E02005629,E02000029,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,101771.248491,0,0,0
E02005614,E02000051,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,106204.971546,0,0,1
E02005614,E02000052,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,107055.048044,0,0,0
E02005614,E02000104,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,108095.587219,0,0,0
E02005614,E02000109,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,109273.345114,0,0,1
E02005629,E02000154,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,135504.163251,0,0,1
E02005614,E02000184,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,113352.551375,0,0,0
E02005614,E02000186,1.882944,0,0,0,0.941472,0,0,0,0,0.941472,0,0,0,113697.646179,0,0,0
E02005629,E02000189,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,114973.15608,0,0,0
E02005614,E02000191,4.707359,0,0,0,4.707359,0,0,0,0,0,0,0,0,115188.746018,0,0,0
E02005629,E02000192,1.882944,0,0,0,1.882944,0,0,0,0,0,0,0,0,115690.622605,0,0,0
E02005614,E02000193,4.707359,0,0,0,4.707359,0,0,0,0,0,0,0,0,115896.952986,0,0,0
E02005614,E02000257,3.765887,1.882944,0,0,1.882944,0,0,0,1.882944,0,0,0,0,113017.877535,0,0,1
E02005614,E02000333,0.941472,0.941472,0,0,0,0,0,0,0,0,0,0.941472,0,124029.529662,1,0,0
E02005629,E02000371,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,115572.512377,0,0,0
E02005629,E02000383,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,116917.226184,0,0,1
E02005614,E02000384,2.824416,1.882944,0,0,0.941472,0,0,0,0,0,0,1.882944,0,116770.167484,1,0,0
E02005614,E02000389,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,118003.2344,0,0,1
E02005614,E02000429,0.941472,0,0,0,0.941472,0,0,0,0,0,0,0,0,109383.957925,0,0,0
E02005614,E02000455,1.882944,0.941472,0,0,0,0,0,0,0.941472,0.941472,0,0,0,105420.788076,0,0,1
E02005629,E02000503,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,106401.584575,0,0,1
E02005614,E02000508,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,108541.563364,0,0,1
E02005614,E02000511,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,109930.6934,0,0,1
E02005629,E02000524,3.765887,3.765887,0,0,0,0,0,0,3.765887,0,0,0,0,114199.596149,0,0,1
E02005629,E02000548,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,118692.921333,0,0,1
E02005614,E02000564,0.941472,0,0,0.941472,0,0,0,0,0,0,0,0,0,112467.387102,0,0,0
E02005614,E02000568,1.882944,0,0,0,1.882944,0,0,0,0,0,0,0,0,113031.362744,0,0,0
E02005629,E02000571,1.882944,1.882944,0,0,0,0,0,0,1.882944,0,0,0,0,114393.328255,0,0,1
E02005629,E02000573,0.941472,0.941472,0,0,0,0,0,0,0.941472,0,0,0,0,114567.67796,0,0,1
