site_name,dwellings_when_complete,n_origin_buildings,n_destination_buildings
allerton-bywater,562,365,27926
ashton-park,2500,391,27926
aylesbury,3000,1408,27926
aylesham,1200,613,27926
bailrigg,3500,57,27926
bath-riverside,2280,78,27926
bicester,6000,768,27926
castlemead,650,671,27926
chapelford,2110,1792,27926
clackers-brook,670,1079,27926
culm,1750,33,27926
dickens-heath,1672,1286,27926
didcot,3300,2332,27926
dunton-hills,4000,75,27926
ebbsfleet,6200,967,27926
great-kneighton,2300,704,27926
halsnead,1589,19,27926
hampton,6900,3270,27926
handforth,1650,24,27926
kidbrooke-village,4763,693,27926
lcid,520,12,27926
long-marston,3500,8,27926
micklefield,292,110,27926
newcastle-great-park,4400,3071,27926
poundbury,2200,727,27926
priors-hall,5095,1165,27926
taunton-firepool,747,342,27926
taunton-garden,4500,1863,27926
tresham,1500,12,27926
trumpington-meadows,1200,604,27926
tyersal-lane,270,335,27926
upton,1382,760,27926
wichelstowe,4500,641,27926
wixams,4500,937,27926
wynyard,2600,1702,27926
