geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
taunton-garden,E02000001,2.756692,1.378346,0,0.689173,0.689173,0,0,0,0.689173,0,0.689173,0,0,213609,0,0.5,0.5
taunton-garden,E02000066,1.378346,1.378346,0,0,0,0,0,0,1.378346,0,0,0,0,228136,0,0,1
taunton-garden,E02000087,0.689173,0.689173,0,0,0,0,0,0,0,0,0.689173,0,0,228414,0,1,0
taunton-garden,E02000192,0.689173,0,0,0,0.689173,0,0,0,0,0,0,0,0,212420,0,0,0
taunton-garden,E02000193,0.689173,0,0,0,0,0,0,0,0,0,0,0,0.689173,211590,0,0,0
taunton-garden,E02000388,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,205612,0,0,1
taunton-garden,E02000509,0.689173,0,0,0,0,0,0,0,0,0.689173,0,0,0,188139,0,0,0
taunton-garden,E02000575,0.689173,0,0,0.689173,0,0,0,0,0,0,0,0,0,213190,0,0,0
taunton-garden,E02000581,2.067519,1.378346,0,0,0.689173,0,0,0,1.378346,0,0,0,0,205386,0,0,1
taunton-garden,E02000657,0.689173,0,0,0,0.689173,0,0,0,0,0,0,0,0,216692,0,0,0
taunton-garden,E02000747,0.689173,0,0,0,0,0,0,0,0,0.689173,0,0,0,221018,0,0,0
taunton-garden,E02000750,0.689173,0,0,0,0,0.689173,0,0,0,0,0,0,0,223006,0,0,0
taunton-garden,E02000806,1.378346,1.378346,0,0,0,0,0,0,1.378346,0,0,0,0,192411,0,0,1
taunton-garden,E02000808,1.378346,1.378346,0,0,0,0,0,0,1.378346,0,0,0,0,213102,0,0,1
taunton-garden,E02000809,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,214411,0,0,1
taunton-garden,E02000850,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,207758,0,0,1
taunton-garden,E02000851,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,203743,0,0,1
taunton-garden,E02000924,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,209102,0,0,1
taunton-garden,E02000950,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,203487,0,0,1
taunton-garden,E02000972,2.756692,1.378346,0,0,1.378346,0,0,0,1.378346,0,0,0,0,210541,0,0,1
taunton-garden,E02000977,1.378346,0,0,0,0.689173,0,0,0,0,0,0,0,0.689173,211054,0,0,0
taunton-garden,E02000980,0.689173,0,0,0,0.689173,0,0,0,0,0,0,0,0,210412,0,0,0
taunton-garden,E02000988,0.689173,0,0,0,0,0,0,0,0,0.689173,0,0,0,288663,0,0,0
taunton-garden,E02001017,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,282764,0,0,1
taunton-garden,E02001109,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,287672,0,0,1
taunton-garden,E02001200,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,271403,0,0,1
taunton-garden,E02001266,0.689173,0,0,0,0,0,0,0,0,0.689173,0,0,0,273098,0,0,0
taunton-garden,E02001335,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,266434,0,0,1
taunton-garden,E02001876,0.689173,0,0,0,0.689173,0,0,0,0,0,0,0,0,180576,0,0,0
taunton-garden,E02001985,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,186926,0,0,1
taunton-garden,E02002110,1.378346,1.378346,0,0,0,0,0,0,1.378346,0,0,0,0,195225,0,0,1
taunton-garden,E02002420,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,320786,0,0,1
taunton-garden,E02002433,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,317047,0,0,1
taunton-garden,E02002790,0.689173,0.689173,0,0,0,0,0,0,0,0,0,0.689173,0,351036,1,0,0
taunton-garden,E02002821,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,234309,0,0,1
taunton-garden,E02002910,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,128896,0,0,1
taunton-garden,E02002911,1.378346,1.378346,0,0,0,0,0,0,1.378346,0,0,0,0,119223,0,0,1
taunton-garden,E02002915,0.689173,0.689173,0,0,0,0,0,0,0.689173,0,0,0,0,117152,0,0,1
