geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02003730,E02000001,17.314931,0.769552,0,0,16.35299,0.192388,0,0,0.577164,0,0.192388,0,0,73660,0,0.25,0.75
E02003730,E02000023,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,71381,0,0,1
E02003788,E02000029,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,61487,0,0,1
E02003730,E02000031,0.384776,0.384776,0,0,0,0,0,0,0.384776,0,0,0,0,62848,0,0,1
E02003788,E02000042,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,65041,0,0,0
E02003730,E02000055,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,68558,0,0,1
E02003730,E02000074,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,78149,0,0,1
E02003788,E02000134,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,84595,0,0,1
E02003788,E02000144,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,86016,0,0,0
E02003730,E02000173,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,71580,0,0,0
E02003730,E02000174,0.384776,0.192388,0,0,0.192388,0,0,0,0.192388,0,0,0,0,71015,0,0,1
E02003788,E02000183,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,72254,0,0,0
E02003730,E02000186,1.923881,0.192388,0,0,1.731493,0,0,0,0.192388,0,0,0,0,72653,0,0,1
E02003730,E02000187,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,72844,0,0,0
E02003730,E02000188,0.192388,0,0,0,0.192388,0,0,0,0,0,0,0,0,73315,0,0,0
E02003730,E02000189,0.384776,0,0,0,0.384776,0,0,0,0,0,0,0,0,73085,0,0,0
E02003730,E02000190,0.577164,0,0,0,0.577164,0,0,0,0,0,0,0,0,73300,0,0,0
E02003730,E02000191,3.270598,0.384776,0,0,2.885822,0,0,0,0,0,0,0.384776,0,73912,1,0,0
E02003730,E02000192,0.384776,0,0,0.192388,0.192388,0,0,0,0,0,0,0,0,73661,0,0,0
E02003730,E02000193,2.501046,0,0,0.192388,2.308657,0,0,0,0,0,0,0,0,74258,0,0,0
E02003730,E02000265,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,79293,0,0,1
E02003730,E02000286,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,58756,0,0,1
E02003788,E02000287,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,59992,0,0,1
E02003788,E02000288,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,58855,0,0,1
E02003788,E02000290,0.192388,0.192388,0,0,0,0,0,0,0.192388,0,0,0,0,59009,0,0,1
