geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
water-lane,E02000184,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,254564,0,0,1
water-lane,E02000215,1.499418,1.499418,0,0,0,0,0,0,0,0,0,1.499418,0,252632,1,0,0
water-lane,E02000403,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,258788,0,0,1
water-lane,E02000473,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,279947,0,0,1
water-lane,E02000524,0.999612,0.499806,0,0,0,0.499806,0,0,0.499806,0,0,0,0,231003,0,0,1
water-lane,E02000531,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,241264,0,0,1
water-lane,E02000602,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,239796,0,0,1
water-lane,E02000755,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,269412,0,0,1
water-lane,E02000979,0.499806,0,0,0,0.499806,0,0,0,0,0,0,0,0,253116,0,0,0
water-lane,E02001019,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,336524,0,0,1
water-lane,E02002099,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,224157,0,0,1
water-lane,E02002911,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,161870,0,0,1
water-lane,E02002993,0.499806,0,0,0,0.499806,0,0,0,0,0,0,0,0,110257,0,0,0
water-lane,E02003006,0.499806,0,0,0,0,0,0,0,0,0.499806,0,0,0,102544,0,0,0
water-lane,E02003014,0.999612,0.999612,0,0,0,0,0,0,0.499806,0,0,0.499806,0,106600,0.5,0,0.5
water-lane,E02003025,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,108942,0,0,1
water-lane,E02003043,0.999612,0.999612,0,0,0,0,0,0,0.499806,0,0,0.499806,0,104974,0.5,0,0.5
water-lane,E02003110,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,113518,0,0,1
water-lane,E02003121,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,0,108841,0,0,0
water-lane,E02003122,0.499806,0.499806,0,0,0,0,0,0,0.499806,0,0,0,0,52091,0,0,1
