geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02003232,E02000001,9.952689,1.59243,0,0.398108,7.962151,0,0,0,1.194323,0,0.398108,0,0,119015.41385,0,0.25,0.75
E02003236,E02000003,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,135218.890671,0,0,1
E02003235,E02000049,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,108563.189255,0,0,1
E02003235,E02000152,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,130495.931326,0,0,1
E02003232,E02000168,0.398108,0,0,0,0.398108,0,0,0,0,0,0,0,0,115713.329876,0,0,0
E02003236,E02000169,0.398108,0,0,0,0,0,0,0,0,0,0,0,0.398108,112603.761781,0,0,0
E02003235,E02000182,0.398108,0,0,0,0.398108,0,0,0,0,0,0,0,0,113382.957507,0,0,0
E02003232,E02000184,1.194323,0.796215,0,0,0.398108,0,0,0,0.796215,0,0,0,0,116060.70575,0,0,1
E02003232,E02000186,0.796215,0,0,0,0.796215,0,0,0,0,0,0,0,0,115720.339523,0,0,0
E02003235,E02000188,0.796215,0,0,0,0.796215,0,0,0,0,0,0,0,0,115779.040852,0,0,0
E02003236,E02000190,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,116931.678406,0,0,1
E02003232,E02000191,1.194323,0,0,0,1.194323,0,0,0,0,0,0,0,0,116251.027544,0,0,0
E02003232,E02000192,0.398108,0,0,0,0.398108,0,0,0,0,0,0,0,0,117723.436274,0,0,0
E02003232,E02000193,1.59243,0.398108,0,0,1.194323,0,0,0,0.398108,0,0,0,0,116995.727498,0,0,1
E02003232,E02000212,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,119255.827524,0,0,1
E02003235,E02000230,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,120203.81514,0,0,1
E02003232,E02000248,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,105330.441386,0,0,1
E02003235,E02000257,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,105011.561589,0,0,1
E02003236,E02000290,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,123370.982407,0,0,1
E02003236,E02000344,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,130952.834236,0,0,1
E02003235,E02000352,0.398108,0.398108,0,0,0,0,0,0,0,0,0,0.398108,0,119696.308844,1,0,0
E02003235,E02000371,0.796215,0.398108,0,0,0.398108,0,0,0,0.398108,0,0,0,0,119875.703008,0,0,1
E02003236,E02000379,0.398108,0,0,0,0,0.398108,0,0,0,0,0,0,0,108504.897301,0,0,0
E02003232,E02000382,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,109078.284897,0,0,1
E02003232,E02000384,1.59243,0.796215,0,0,0.796215,0,0,0,0.398108,0,0.398108,0,0,109981.016959,0,0.5,0.5
E02003232,E02000386,0.398108,0,0,0,0.398108,0,0,0,0,0,0,0,0,111571.680141,0,0,0
E02003232,E02000396,0.796215,0,0,0,0.796215,0,0,0,0,0,0,0,0,112561.985852,0,0,0
E02003232,E02000433,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,104275.615284,0,0,1
E02003235,E02000455,0.796215,0.796215,0,0,0,0,0,0,0.398108,0,0,0.398108,0,102763.044682,0.5,0,0.5
E02003236,E02000459,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,101012.563151,0,0,1
E02003236,E02000494,0.398108,0.398108,0,0,0,0,0,0,0,0,0,0.398108,0,96032.285066,1,0,0
E02003236,E02000506,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,93722.258638,0,0,1
E02003232,E02000508,0.398108,0.398108,0,0,0,0,0,0,0.398108,0,0,0,0,92642.980725,0,0,1
