geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
wynyard,E02000001,0.867841,0,0,0.28928,0.28928,0.28928,0,0,0,0,0,0,0,356983,0,0,0
wynyard,E02000050,0.28928,0,0,0,0,0.28928,0,0,0,0,0,0,0,346967,0,0,0
wynyard,E02000109,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,350603,0,0,1
wynyard,E02000144,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,371783,0,0,1
wynyard,E02000168,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,352341,0,0,0
wynyard,E02000190,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,355753,0,0,0
wynyard,E02000191,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,356060,0,0,0
wynyard,E02000193,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,356723,0,0,0
wynyard,E02000257,0.28928,0.28928,0,0,0,0,0,0,0,0,0,0.28928,0,354386,1,0,0
wynyard,E02000267,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,354906,0,0,1
wynyard,E02000383,0.28928,0.28928,0,0,0,0,0,0,0,0,0,0.28928,0,358139,1,0,0
wynyard,E02000394,0.28928,0.28928,0,0,0,0,0,0,0,0,0,0.28928,0,360769,1,0,0
wynyard,E02000409,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,349003,0,0,0
wynyard,E02000451,0.28928,0,0,0,0,0,0,0,0,0.28928,0,0,0,345780,0,0,0
wynyard,E02000476,0.57856,0.28928,0,0,0.28928,0,0,0,0,0,0,0.28928,0,355363,1,0,0
wynyard,E02000524,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,355258,0,0,1
wynyard,E02000548,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,0,359851,0,0,0
wynyard,E02000576,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,356358,0,0,1
wynyard,E02000581,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,355948,0,0,1
wynyard,E02000619,0.28928,0,0,0.28928,0,0,0,0,0,0,0,0,0,359675,0,0,0
wynyard,E02000677,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,367083,0,0,1
wynyard,E02000808,0.57856,0,0,0.28928,0.28928,0,0,0,0,0,0,0,0,358798,0,0,0
wynyard,E02000810,0.28928,0,0,0,0,0,0,0,0,0,0,0,0.28928,359772,0,0,0
wynyard,E02000878,0.28928,0.28928,0,0,0,0,0,0,0.28928,0,0,0,0,357443,0,0,1
wynyard,E02000879,0.28928,0,0,0,0.28928,0,0,0,0,0,0,0,0,358015,0,0,0
